GEOID,DISTRICT
55099004857,1
55099004862,1
55099004865,1
55099004863,1
55099004858,1
55099004859,1
55099004889,1
55099004884,1
55099004872,1
55099004882,1
55099004887,1
55099004880,1
55099004870,1
55099004871,1
55099004856,1
55099004855,1
55135006989,1
55135006943,1
55135006990,1
55135006963,1
55017000595,2
55017000593,2
55017000580,2
55017000588,2
55017000587,2
55127006278,3
55127006268,3
55127006277,3
55127006271,3
55127006276,3
55127006218,3
55127006204,3
55127006219,3
55127006222,3
55127006233,3
55127006231,3
55127006174,3
55127006175,3
55127006176,3
55127006285,3
55127006151,3
55127006150,3
55127006164,3
55127006283,3
55127006173,3
55127006159,3
55127006158,3
55127006289,3
55127006291,3
55127006288,3
55127006292,3
55127006296,3
55127006297,4
55127006241,3
55127006239,3
55127006242,3
55127006211,3
55127006181,3
55135006931,1
55135006968,1
55135006962,1
55135006947,1
55135006985,1
55135006988,1
55135006930,1
55135006941,1
55135006940,1
55135006925,1
55135006984,1
55135006998,1
55135008074,1
55099004878,1
55099004877,1
55135006936,1
55135006911,1
55099004861,1
55099004860,1
55099004886,1
55099004873,1
55099004875,1
55099004874,1
55125006134,1
55125006124,1
55125006121,1
55067002994,1
55067002991,1
55067003020,1
55067003006,1
55067003011,1
55067003005,1
55067003023,1
55067003009,1
55135006982,1
55135006916,1
55135006927,1
55135006906,1
55135006996,1
55135006919,1
55135006918,1
55135006956,1
55135006908,1
55135006924,1
55135006979,1
55135007001,1
55135006967,1
55135006969,1
55135006952,1
55135006991,1
55135006994,1
55135006987,1
55135007002,1
55135006973,1
55135006974,1
55135006960,1
55135006959,1
55009000383,5
55009000309,5
55009000382,5
55009000385,5
55009000206,5
55009000254,5
55027001487,6
55027001565,6
55067002988,1
55067002995,1
55067003022,1
55125006123,1
55125006127,1
55125006126,1
55125006119,1
55125006116,1
55125006108,1
55009000282,5
55141007305,1
55141007304,1
55141007296,1
55141007302,1
55141007289,1
55141007356,1
55141007264,1
55141007349,1
55141007372,1
55141007283,1
55141007324,1
55053002396,1
55053002390,1
55141007303,1
55141007348,1
55141007284,1
55141007268,1
55141007341,1
55141007360,1
55141007371,1
55141007373,1
55027001547,3
55027001548,3
55027001514,6
55027001601,3
55027001559,6
55027001515,3
55027001516,6
55009000269,5
55009000218,5
55009000247,5
55009000333,5
55009000239,5
55099004866,1
55099004864,1
55141007338,1
55141007339,1
55141007262,1
55141007261,1
55141007362,1
55141007359,1
55141007363,1
55125006130,1
55125006137,1
55125006143,1
55125006141,1
55125006138,1
55027001602,3
55027001518,3
55027001519,3
55009000234,5
55009000387,5
55009000341,5
55009000324,5
55009000348,5
55085004221,1
55085004263,1
55085004239,1
55085004270,1
55085004259,1
55085004278,1
55085004245,1
55085004258,1
55085004246,1
55085004255,1
55085004233,1
55085004249,1
55085004226,1
55125006103,1
55125006133,1
55125006125,1
55125006122,1
55125006135,1
55027001525,3
55027001460,3
55027001480,3
55027001463,3
55027001481,3
55027001471,3
55027001464,3
55027001588,3
55027001589,3
55027001501,3
55033001739,2
55033001752,2
55033001750,2
55033001778,2
55033001786,2
55033001779,2
55127006207,3
55127006161,3
55127006162,3
55127006212,3
55127006209,3
55127006298,3
55127006258,3
55127006224,3
55127006208,3
55127006195,3
55127006194,3
55127006193,3
55127006237,3
55127006236,3
55127006185,3
55127006183,3
55127006184,3
55127006295,3
55127006186,3
55127006188,3
55127006187,3
55127006189,3
55127006294,3
55127006263,3
55127006262,3
55127006251,3
55127006261,3
55127006264,3
55127006163,3
55127006265,3
55127006156,3
55127006240,3
55127006192,3
55127006160,3
55127006293,3
55027001557,6
55085004243,1
55085004280,1
55085004257,1
55085004252,1
55085004273,1
55085004276,1
55085004272,1
55033001743,2
55033001790,2
55033001774,2
55033001781,2
55033001784,2
55033001780,2
55033001756,2
55033001787,2
55033001770,2
55033001769,2
55085004275,1
55085004274,1
55009000220,5
55009000198,5
55009000310,5
55009000330,5
55009000320,5
55009000281,5
55009000394,5
55009000210,5
55009000284,5
55009000197,5
55009000323,5
55009000253,5
55009000292,5
55009000318,5
55009000205,5
55017000611,2
55017000609,2
55017000608,2
55017000604,2
55037001942,1
55037001938,1
55037001944,1
55037001950,5
55037001941,5
55085004282,1
55085004269,1
55085004238,1
55085004267,1
55085004261,1
55085004240,1
55085004241,1
55085004271,1
55085004237,1
55085004253,1
55125006118,1
55125006109,1
55009000335,5
55009000258,5
55009000349,5
55009000267,5
55009000396,5
55009000215,5
55027001466,3
55027001473,3
55027001465,3
55027001593,6
55027001510,6
55027001517,6
55019000699,1
55037001948,5
55085004260,1
55085004242,1
55085004247,1
55015000484,5
55015000520,5
55015000497,5
55015003031,5
55015000498,5
55015000468,6
55027001530,6
55027001529,6
55009000367,5
55009000311,5
55009000314,5
55009000262,5
55009000236,5
55009000347,5
55027001459,3
55027001462,3
55027001599,6
55027001491,6
55027001604,6
55009000213,5
55009000204,5
55009000212,5
55009000201,5
55009000306,5
55009000298,5
55009000217,5
55009000244,5
55009000243,5
55009000196,5
55009000264,5
55009000203,5
55009000293,5
55125006111,1
55125006112,1
55027001544,6
55027001592,6
55027001539,6
55027001591,6
55009000261,5
55009000265,5
55009000327,5
55009000363,5
55009000273,5
55009000377,5
55009000374,5
55009000351,5
55009000263,5
55009000223,5
55009000207,5
55009000277,5
55015000506,6
55015000508,6
55015000472,6
55015000471,6
55015000499,5
55015000496,5
55075003380,5
55075003377,5
55075003393,5
55075003392,5
55075003399,5
55045002206,7
55045002218,7
55045002219,7
55045002216,7
55045002224,7
55093004617,2
55093004615,2
55093004660,2
55093004623,2
55019000677,1
55019000711,1
55019000712,1
55019000680,1
55019000684,1
55019000652,1
55019000705,1
55075003431,5
55075003432,5
55075003430,5
55045002254,7
55045002226,7
55075003407,5
55075003410,5
55075003405,5
55075003401,5
55075003400,5
55075003379,5
55075003404,5
55075003403,5
55019000670,1
55053002406,1
55019000687,1
55019000668,1
55019000673,1
55019000690,1
55019000656,1
55019000674,1
55019000706,1
55019000666,1
55019000658,1
55019000701,1
55019000720,1
55019000675,1
55041002108,1
55041002099,1
55041002098,1
55137007056,1
55137007052,1
55137007042,1
55137007057,1
55137007059,1
55115005774,1
55115005806,1
55115005775,1
55115005770,1
55115005771,1
55089004572,6
55089004534,6
55089004575,6
55089004542,6
55089004556,6
55089004541,8
55089004524,6
55089004540,6
55089004502,6
55089004530,6
55089004544,6
55089004583,6
55033001785,2
55033001782,2
55089004545,6
55089004492,6
55033001768,2
55033001741,2
55033001771,2
55033001734,2
55033001755,2
55033001738,2
55033001753,2
55033001737,2
55033001751,2
55033001742,2
55115005804,1
55115005809,1
55115005768,1
55115005769,1
55115005808,1
55115005764,1
55115005797,5
55137007022,1
55137007006,1
55129006318,2
55129006317,2
55129006311,2
55129006341,2
55129006312,2
55129006313,2
55129006319,2
55129006314,2
55049002345,7
55093004658,2
55093004610,2
55033001773,2
55075003385,5
55075003397,5
55075003387,5
55045002251,3
55049002340,7
55049002302,7
55049002337,7
55049002342,7
55049002339,7
55049002335,7
55049002350,7
55049002357,7
55049002358,7
55049002307,7
55079003868,4
55079003869,4
55079003670,4
55079003667,8
55079003782,8
55079003784,8
55079003769,8
55079003763,8
55079003786,8
55079003886,4
55079003881,4
55079003864,4
55079003778,8
55079003779,8
55079003922,4
55079003927,4
55079003531,4
55079003513,4
55079003565,4
55079003764,6
55079003896,8
55079003858,8
55079003860,8
55079003728,8
55079003729,8
55079003730,8
55079003750,8
55079003625,8
55079003740,8
55049002352,7
55049002353,7
55045002252,3
55045002253,3
55063002931,7
55063002924,7
55063002840,2
55063002871,2
55063002872,2
55063002873,2
55063002854,2
55063002861,2
55063002868,2
55125006102,1
55125006132,1
55125006113,1
55125006136,1
55085004251,1
55085004228,1
55085004232,1
55085004230,1
55085004250,1
55115005746,1
55115005793,5
55115005794,5
55115005761,5
55115005762,5
55115005750,1
55015000513,5
55015000514,5
55015000533,5
55015000489,5
55015000527,5
55015000485,5
55015008001,5
55015000532,5
55015000503,5
55015000501,5
55015000519,5
55015000518,5
55015000502,5
55015000483,6
55015000534,5
55015000493,6
55015000494,6
55105005348,3
55105005136,3
55105005343,3
55041002093,1
55041002103,1
55031001731,2
55031001729,2
55031001673,2
55031001728,2
55031001695,2
55031001694,2
55137007024,1
55137007031,1
55137007048,1
55079003870,4
55129006308,2
55129006307,2
55129006315,2
55079003621,8
55079003777,8
55079003857,8
55079003776,8
55079003713,8
55079003712,8
55079003538,4
55079003477,8
55079003986,4
55119005942,1
55119005945,1
55119005960,1
55105005124,3
55105005222,3
55105005201,3
55105005176,3
55041002084,1
55079003652,8
55079003673,8
55079003657,8
55079003648,8
55137007029,1
55137007027,1
55137007015,1
55137007060,1
55137007058,1
55137007053,1
55137007039,1
55137007037,1
55137007040,1
55137007055,1
55115005779,1
55137007013,1
55137007004,1
55115005757,1
55115005776,1
55137007043,1
55033001759,2
55033001758,2
55031001706,2
55031001707,2
55031001685,2
55031001698,2
55031001697,2
55031001700,2
55015000505,5
55079003603,8
55079003722,8
55079003724,8
55119005963,1
55119005964,1
55119005976,1
55119005969,1
55119005970,1
55119005973,1
55079003973,8
55079003974,8
55079003963,8
55079003999,4
55079003948,4
55079003981,4
55079003534,4
55079003535,4
55079003690,8
55079003701,8
55079003631,8
55079003623,8
55079003755,8
55079004041,8
55079003902,8
55079003898,8
55079003742,8
55079003741,8
55079003751,8
55079003795,8
55079003803,8
55119005959,1
55119005974,1
55119005957,1
55043002129,7
55043002147,7
55043002113,7
55043002149,7
55043002184,7
55043002191,7
55043002202,7
55043002201,7
55043002183,7
55043002133,7
55105005382,3
55105005234,3
55105005233,3
55105005194,3
55105005196,3
55105005208,3
55105005356,3
55105005189,3
55105005207,3
55105005206,3
55105005304,3
55105005188,3
55105008078,3
55105005166,3
55105005164,3
55105005165,3
55105005182,3
55105005205,3
55105005243,3
55105005198,3
55105005204,3
55079003586,4
55119005952,1
55119005956,1
55079003913,4
55079003919,4
55079003711,6
55079003714,8
55079004036,8
55079003851,8
55079003841,8
55079003581,4
55079003580,4
55079003582,4
55079003888,4
55079003899,8
55079003914,4
55079003918,4
55079003920,4
55079003854,8
55079003855,8
55079003839,8
55079004013,8
55079003852,8
55079004016,8
55079003762,8
55079003629,8
55079003821,8
55079003794,8
55063002930,1
55063002934,2
55075003418,5
55075003429,5
55075003426,5
55075003422,5
55075003421,5
55045002228,7
55045002241,7
55045002242,7
55045002222,7
55045002243,7
55045002208,7
55129006336,2
55133006594,3
55133006819,3
55133006606,3
55133006607,3
55133006691,3
55071003118,5
55071003119,5
55071003136,5
55071003123,5
55133006804,8
55133006799,8
55133006680,8
55109005537,2
55109005542,2
55109005554,2
55109005540,2
55109005538,2
55109005539,2
55109005460,2
55109005530,2
55109005533,2
55109005453,2
55109005562,2
55109005544,2
55109005461,2
55109005551,2
55109005573,2
55109005575,2
55109005568,2
55109005567,2
55109005471,2
55109005451,2
55109005547,2
55109005563,2
