GEOID,DISTRICT
060014001001,1
060014001002,1
060014002001,1
060014002002,1
060014003001,1
060014003002,1
060014003003,1
060014003004,1
060014004001,1
060014004002,1
060014004003,1
060014005001,1
060014005002,1
060014005003,1
060014006001,1
060014006002,1
060014007001,1
060014007002,1
060014007003,1
060014007004,2
060014008001,2
060014008002,2
060014008003,2
060014009001,2
060014009002,2
060014010001,2
060014010002,2
060014010003,2
060014010004,2
060014010005,2
060014010006,2
060014011001,1
060014011002,2
060014011003,2
060014011004,2
060014012001,1
060014012002,1
060014012003,2
060014013001,2
060014013002,2
060014013003,2
060014014001,2
060014014002,2
060014014003,2
060014015001,2
060014015002,2
060014015003,2
060014016001,2
060014016002,2
060014017001,2
060014017002,2
060014017003,2
060014018001,2
060014018002,2
060014022001,2
060014022002,2
060014022003,2
060014024001,2
060014024002,2
060014025001,2
060014025002,2
060014026001,2
060014027001,2
060014027002,2
060014028011,2
060014028012,2
060014028013,2
060014028021,2
060014028022,2
060014029001,2
060014029002,2
060014030001,2
060014030002,2
060014030003,2
060014031001,2
060014031002,2
060014033011,2
060014033012,2
060014033021,2
060014033022,2
060014033023,2
060014034011,2
060014034012,2
060014034013,2
060014034021,2
060014034022,2
060014035011,2
060014035012,2
060014035013,2
060014035014,2
060014035021,2
060014035022,2
060014036001,2
060014036002,2
060014036003,2
060014037011,2
060014037012,2
060014037021,2
060014037022,2
060014038001,1
060014038002,1
060014038003,2
060014038004,1
060014039001,1
060014039002,2
060014039003,2
060014040001,2
060014040002,2
060014040003,1
060014041011,1
060014041012,1
060014041013,1
060014041021,1
060014041022,1
060014042001,1
060014042002,1
060014042003,1
060014043001,1
060014043002,1
060014043003,1
060014044001,1
060014044002,1
060014044003,1
060014044004,1
060014045011,1
060014045021,1
060014045022,1
060014045023,1
060014045024,1
060014046001,1
060014046002,1
060014046003,1
060014046004,3
060014047001,1
060014047002,1
060014048001,3
060014048002,1
060014049001,1
060014049002,1
060014049003,1
060014049004,1
060014050001,1
060014050002,1
060014050003,2
060014051001,1
060014051002,1
060014051003,2
060014051004,1
060014051005,1
060014052001,2
060014052002,2
060014052003,2
060014052004,2
060014053011,2
060014053012,2
060014053013,2
060014053021,2
060014053022,2
060014054011,2
060014054012,2
060014054013,2
060014054021,2
060014054022,2
060014055001,2
060014055002,2
060014055003,2
060014055004,2
060014056001,2
060014056002,2
060014056003,2
060014057001,2
060014057002,3
060014057003,2
060014058001,2
060014058002,2
060014058003,2
060014058004,2
060014059011,2
060014059012,2
060014059013,2
060014059021,2
060014059022,2
060014060001,2
060014060002,2
060014060003,2
060014060004,2
060014061001,3
060014061002,3
060014061003,3
060014061004,2
060014062011,3
060014062012,2
060014062013,3
060014062014,2
060014062021,3
060014062022,3
060014062023,3
060014063001,3
060014063002,3
060014063003,3
060014063004,3
060014064001,3
060014064002,3
060014065001,3
060014065002,3
060014065003,3
060014065004,3
060014066011,3
060014066012,3
060014066013,3
060014066014,3
060014066021,3
060014066022,3
060014067001,3
060014067002,3
060014067003,3
060014067004,3
060014067005,3
060014068001,3
060014068002,3
060014068003,3
060014068004,3
060014069001,3
060014069002,3
060014069003,3
060014070001,3
060014070002,3
060014070003,3
060014070004,3
060014070005,3
060014071011,3
060014071012,3
060014071021,3
060014071022,3
060014071023,3
060014071024,3
060014072001,3
060014072002,3
060014072003,3
060014072004,3
060014073001,3
060014073002,3
060014074001,3
060014074002,3
060014074003,3
060014075001,3
060014075002,3
060014075003,3
060014076001,3
060014076002,3
060014076003,3
060014076004,3
060014076005,3
060014077001,3
060014077002,3
060014077003,3
060014077004,3
060014078001,3
060014078002,3
060014079001,3
060014079002,3
060014079003,3
060014080001,3
060014080002,3
060014081001,3
060014081002,3
060014081003,3
060014081004,3
060014081005,3
060014082001,3
060014082002,3
060014082003,3
060014083001,3
060014083002,3
060014083003,3
060014083004,3
060014083005,3
060014084001,3
060014084002,3
060014084003,3
060014085001,3
060014085002,3
060014085003,3
060014085004,3
060014085005,3
060014086001,3
060014086002,3
060014086003,3
060014086004,3
060014087001,3
060014087002,3
060014087003,3
060014087004,3
060014087005,3
060014087006,3
060014088001,3
060014088002,3
060014088003,3
060014088004,3
060014089001,3
060014089002,3
060014090001,3
060014090002,3
060014090003,3
060014091001,3
060014091002,3
060014092001,3
060014092002,3
060014093001,3
060014093002,3
060014093003,3
060014093004,3
060014094001,3
060014094002,3
060014094003,3
060014095001,3
060014095002,3
060014095003,3
060014096001,3
060014096002,3
060014096003,3
060014096004,3
060014096005,3
060014097001,3
060014097002,3
060014097003,3
060014097004,3
060014098001,3
060014098002,3
060014098003,3
060014099001,3
060014099002,3
060014099003,3
060014099004,3
060014100001,3
060014100002,3
060014100003,3
060014101001,3
060014101002,3
060014102001,3
060014102002,3
060014102003,3
060014103001,3
060014103002,3
060014103003,3
060014104001,3
060014104002,3
060014104003,3
060014105001,2
060014105002,2
060014201001,1
060014201002,1
060014201003,1
060014202001,1
060014202002,1
060014202003,1
060014203011,1
060014203021,1
060014203022,1
060014204011,1
060014204012,1
060014204021,1
060014204022,1
060014205001,1
060014205002,1
060014206001,1
060014206002,1
060014206003,1
060014211001,1
060014211002,1
060014212001,1
060014212002,1
060014212003,1
060014212004,1
060014213001,1
060014213002,1
060014213003,1
060014213004,1
060014214001,1
060014214002,1
060014215001,1
060014215002,1
060014215003,1
060014216001,1
060014216002,1
060014216003,1
060014216004,1
060014217001,1
060014217002,1
060014217003,1
060014218001,1
060014218002,1
060014219001,1
060014219002,1
060014219003,1
060014219004,1
060014220001,2
060014220002,1
060014221001,1
060014221002,1
060014222001,1
060014222002,1
060014222003,1
060014223001,1
060014223002,1
060014223003,1
060014224001,1
060014224002,1
060014224003,1
060014224004,1
060014225001,1
060014225002,1
060014225003,1
060014227001,1
060014227002,1
060014227003,1
060014227004,1
060014228001,1
060014228002,1
060014228003,1
060014228004,1
060014229011,1
060014229012,1
060014229021,1
060014229022,1
060014229023,1
060014230001,1
060014230002,1
060014230003,1
060014231001,1
060014231002,1
060014231003,1
060014231004,1
060014232001,1
060014232002,1
060014233001,1
060014233002,1
060014233003,1
060014234001,1
060014234002,1
060014234003,1
060014234004,1
060014235001,1
060014235002,1
060014235003,1
060014236011,1
060014236012,1
060014236021,1
060014236022,1
060014236023,1
060014237001,1
060014237002,1
060014237003,1
060014238001,1
060014238002,1
060014238003,1
060014239011,1
060014239012,1
060014239021,1
060014239022,1
060014240011,1
060014240012,1
060014240013,1
060014240014,1
060014240021,1
060014240022,1
060014251011,2
060014251012,2
060014251021,2
060014251022,2
060014251023,2
060014251031,2
060014251032,2
060014251033,2
060014251041,2
060014251042,2
060014251043,2
060014251044,2
060014251045,2
060014261001,1
060014261002,1
060014261003,1
060014261004,1
060014261005,1
060014261006,1
060014262001,1
060014262002,1
060014262003,1
060014271001,2
060014271002,3
060014271003,3
060014272001,2
060014272002,2
060014272003,2
060014272004,2
060014272005,2
060014273001,2
060014273002,2
060014273003,2
060014273004,2
060014273005,2
060014276001,2
060014276002,2
060014276003,2
060014277001,2
060014277002,2
060014277003,2
060014277004,2
060014278001,2
060014278002,2
060014278003,2
060014278004,2
060014278005,2
060014279001,2
060014279002,2
060014279003,2
060014279004,2
060014279005,2
060014280001,2
060014280002,2
060014280003,2
060014281001,3
060014281002,3
060014281003,2
060014281004,2
060014282001,3
060014282002,2
060014282003,2
060014282004,2
060014282005,2
060014283011,2
060014283012,2
060014283013,2
060014283014,2
060014283021,2
060014283022,2
060014283023,2
060014284001,2
060014284002,2
060014284003,2
060014285001,2
060014285002,2
060014285003,2
060014286001,2
060014286002,2
060014287001,2
060014287002,2
060014287003,2
060014301011,3
060014301012,3
060014301013,3
060014301014,3
060014301021,3
060014302001,3
060014302002,3
060014302003,3
060014302004,3
060014302005,3
060014303001,3
060014303002,3
060014303003,3
060014304001,3
060014304002,3
060014305001,3
060014305002,3
060014305003,3
060014306001,3
060014306002,3
060014306003,3
060014306004,3
060014307001,3
060014307002,3
060014307003,3
060014308001,3
060014308002,3
060014308003,3
060014308004,3
060014309001,3
060014309002,3
060014309003,3
060014310001,3
060014310002,3
060014311001,3
060014311002,3
060014312001,3
060014312002,3
060014312003,3
060014321001,3
060014321002,3
060014321003,3
060014322001,3
060014322002,3
060014322003,3
060014323001,3
060014323002,3
060014323003,3
060014324001,3
060014324002,3
060014324003,3
060014325011,3
060014325012,3
060014325013,3
060014325021,3
060014325022,3
060014325023,3
060014326011,3
060014326012,3
060014326021,3
060014326022,3
060014326023,3
060014327001,3
060014327002,3
060014327003,3
060014328001,3
060014328002,3
060014328003,3
060014330001,3
060014330002,3
060014330003,3
060014330004,3
060014331021,3
060014331022,3
060014331031,3
060014331032,3
060014331041,3
060014331042,3
060014331043,3
060014332001,3
060014332002,3
060014332003,3
060014332004,3
060014333001,3
060014333002,3
060014333003,3
060014333004,3
060014333005,3
060014334001,3
060014334002,3
060014334003,3
060014334004,3
060014334005,3
060014334006,3
060014335001,3
060014335002,3
060014335003,3
060014335004,3
060014336001,3
060014336002,3
060014336003,3
060014336004,3
060014337001,3
060014337002,3
060014337003,3
060014338011,3
060014338012,3
060014338021,3
060014338022,3
060014339001,3
060014339002,3
060014339003,3
060014339004,3
060014340001,3
060014340002,3
060014340003,3
060014351021,3
060014351022,3
060014351023,3
060014351031,4
060014351032,3
060014351033,3
060014351034,4
060014351041,3
060014351042,3
060014351043,3
060014351044,3
060014352001,3
060014352002,3
060014353001,3
060014353002,3
060014353003,3
060014354001,3
060014354002,3
060014354003,3
060014355001,3
060014355002,3
060014355003,3
060014356011,3
060014356012,3
060014356013,3
060014356021,3
060014356022,3
060014356023,3
060014356024,3
060014357001,3
060014357002,3
060014357003,3
060014357004,3
060014358001,3
060014358002,3
060014358003,3
060014358004,3
060014359001,3
060014359002,3
060014359003,3
060014359004,3
060014360001,3
060014360002,3
060014360003,3
060014361001,3
060014361002,3
060014361003,3
060014362001,3
060014362002,3
060014363011,3
060014363012,3
060014363021,3
060014363022,3
060014363023,3
060014364021,3
060014364022,3
060014364031,3
060014364032,3
060014364033,3
060014364034,3
060014364041,3
060014364042,3
060014364043,3
060014365001,3
060014365002,3
060014365003,3
060014366011,3
060014366012,3
060014366013,3
060014366021,3
060014366022,3
060014366023,3
060014367001,3
060014367002,3
060014368001,3
060014368002,3
060014369001,3
060014369002,3
060014369003,3
060014369004,3
060014370001,3
060014370002,3
060014370003,3
060014371011,3
060014371012,3
060014371013,3
060014371014,3
060014371021,3
060014371022,3
060014371023,3
060014372001,3
060014372002,3
060014372003,3
060014372004,3
060014372005,3
060014373001,3
060014373002,3
060014373003,3
060014374001,3
060014374002,3
060014375001,3
060014375002,3
060014376001,3
060014376002,3
060014377011,3
060014377012,3
060014377013,3
060014377021,3
060014377022,3
060014377023,3
060014378001,3
060014378002,3
060014378003,3
060014379001,3
060014379002,3
060014380001,4
060014380002,4
060014381001,3
060014381002,4
060014381003,4
060014381004,4
060014381005,4
060014381006,4
060014382011,3
060014382012,3
060014382013,3
060014382031,3
060014382032,3
060014382041,3
060014382042,3
060014382043,3
060014383001,3
060014383002,3
060014383003,3
060014384001,3
060014384002,3
060014401001,4
060014402001,4
060014402002,4
060014402003,4
060014402004,4
060014403011,3
060014403012,4
060014403013,4
060014403014,4
060014403041,3
060014403042,3
060014403043,3
060014403051,4
060014403052,4
060014403053,4
060014403061,4
060014403062,4
060014403071,4
060014403072,4
060014403073,4
060014403081,4
060014403082,4
060014403083,4
060014403084,4
060014403311,3
060014403312,3
060014403321,3
060014403322,5
060014403331,3
060014403332,3
060014403341,3
060014403342,4
060014403361,4
060014403362,4
060014403371,4
060014403381,4
060014403382,4
060014403383,4
060014411001,4
060014411002,4
060014412001,4
060014412002,4
060014412003,4
060014412004,4
060014412005,4
060014413011,4
060014413012,4
060014413021,4
060014413022,4
060014413023,4
060014413024,4
060014414011,4
060014414012,4
060014414013,4
060014414014,4
060014414015,4
060014414021,4
060014414022,4
060014414023,4
060014415011,4
060014415012,4
060014415013,4
060014415031,4
060014415032,4
060014415033,4
060014415034,5
060014415211,4
060014415212,4
060014415213,4
060014415214,4
060014415221,4
060014415222,4
060014415223,4
060014415231,4
060014415232,4
060014415233,4
060014415241,4
060014415242,4
060014415251,4
060014415252,4
060014415253,4
060014416011,4
060014416012,4
060014416013,4
060014416021,4
060014416022,4
060014416023,4
060014417011,4
060014417012,4
060014417021,4
060014417022,4
060014418001,4
060014418002,4
060014418003,4
060014418004,4
060014419211,4
060014419212,4
060014419231,4
060014419232,4
060014419233,4
060014419234,4
060014419241,4
060014419242,4
060014419243,4
060014419244,4
060014419245,4
060014419261,4
060014419262,4
060014419271,4
060014419272,4
060014419281,4
060014419282,4
060014419291,4
060014419292,4
060014420001,4
060014420002,4
060014421001,4
060014421002,4
060014421003,4
060014422001,4
060014422002,4
060014422003,4
060014422004,4
060014423011,4
060014423012,4
060014423013,4
060014423021,4
060014423022,4
060014423023,4
060014424001,4
060014424002,4
060014424003,4
060014424004,4
060014425011,4
060014425012,4
060014425021,4
060014425022,4
060014426011,4
060014426012,4
060014426021,4
060014426022,4
060014426023,4
060014427001,4
060014427002,4
060014427003,4
060014428001,4
060014429001,4
060014429002,4
060014429003,4
060014429004,4
060014430011,4
060014430012,4
060014430021,4
060014430022,4
060014430023,4
060014431021,4
060014431022,4
060014431023,4
060014431024,4
060014431031,4
060014431032,4
060014431033,4
060014431041,4
060014431042,4
060014431043,4
060014431044,4
060014431051,4
060014431052,4
060014432001,4
060014432002,4
060014433011,4
060014433012,4
060014433013,4
060014433211,4
060014433212,4
060014433221,4
060014433222,4
060014441001,4
060014441002,4
060014441003,4
060014441004,4
060014442001,4
060014442002,4
060014442003,4
060014443011,4
060014443012,4
060014443031,5
060014443041,4
060014443042,4
060014444001,4
060014444002,4
060014444003,4
060014445001,4
060014445002,4
060014445003,4
060014445004,4
060014446011,4
060014446012,4
060014446021,4
060014446022,4
060014501011,4
060014501012,4
060014501021,4
060014501022,4
060014502001,4
060014502002,4
060014502003,4
060014503001,4
060014503002,4
060014503003,4
060014504001,4
060014504002,4
060014504003,4
060014504004,4
060014505011,4
060014505012,4
060014505021,4
060014505022,4
060014506011,4
060014506012,4
060014506013,4
060014506031,4
060014506032,4
060014506033,4
060014506034,4
060014506041,4
060014506042,4
060014506043,4
060014506044,4
060014506051,4
060014506052,4
060014506053,4
060014506061,4
060014506062,4
060014506063,4
060014506071,4
060014506072,4
060014506073,4
060014506081,4
060014506082,4
060014506083,4
060014506091,4
060014506092,4
060014506093,4
060014507011,4
060014507012,4
060014507013,4
060014507014,4
060014507015,4
060014507411,4
060014507412,4
060014507413,4
060014507421,4
060014507422,4
060014507423,4
060014507431,4
060014507432,4
060014507433,4
060014507434,4
060014507441,4
060014507442,4
060014507451,4
060014507452,4
060014507453,4
060014507461,4
060014507462,4
060014507501,4
060014507502,4
060014507511,4
060014507512,4
060014507521,4
