GEOID,DISTRICT
410019501001,3
410019501002,3
410019501003,3
410019502001,3
410019502002,3
410019502003,3
410019503001,3
410019503002,3
410019503003,3
410019504001,3
410019504002,3
410019504003,3
410019505001,3
410019505002,3
410019506001,3
410019506002,3
410019506003,3
410030001011,6
410030001012,6
410030001013,6
410030001021,6
410030001022,6
410030002021,6
410030002022,6
410030002023,6
410030004011,6
410030004012,6
410030004021,6
410030004022,6
410030004023,6
410030005001,6
410030005002,6
410030005003,6
410030006001,6
410030006002,6
410030006003,6
410030009001,6
410030009002,6
410030009003,6
410030009004,6
410030009005,6
410030010011,6
410030010012,6
410030010013,6
410030010021,6
410030010022,6
410030010023,6
410030011011,6
410030011012,6
410030011013,6
410030011014,6
410030011021,6
410030011022,6
410030011023,6
410030011024,6
410030101011,6
410030101012,6
410030101013,6
410030101021,6
410030101022,6
410030101023,6
410030102001,6
410030102002,6
410030102003,6
410030103001,6
410030103002,6
410030103003,6
410030104001,6
410030104002,6
410030104003,6
410030104004,6
410030106011,6
410030106012,6
410030106021,6
410030106022,6
410030107021,6
410030107022,6
410030107023,6
410030108001,6
410030108002,6
410030108003,6
410030109001,6
410030109002,6
410030109003,6
410050201011,4
410050201012,4
410050201021,4
410050201022,4
410050202011,4
410050202012,4
410050202013,4
410050202021,4
410050202022,4
410050203021,4
410050203022,4
410050203023,4
410050203031,4
410050203032,4
410050203033,4
410050203034,4
410050203041,4
410050203042,4
410050203043,4
410050204011,4
410050204012,4
410050204013,4
410050204014,4
410050204031,4
410050204032,4
410050204041,4
410050204042,4
410050205031,4
410050205032,4
410050205041,4
410050205042,4
410050205043,4
410050205044,4
410050205051,4
410050205052,4
410050205061,4
410050205062,4
410050205071,4
410050205072,4
410050205073,4
410050206011,4
410050206012,4
410050206021,4
410050206022,4
410050206023,4
410050207001,4
410050207002,4
410050207003,4
410050208001,1
410050208002,1
410050208003,1
410050209001,1
410050209002,1
410050209003,1
410050210001,1
410050210002,1
410050210003,1
410050211001,1
410050211002,1
410050211003,1
410050211004,1
410050212001,1
410050212002,1
410050212003,1
410050212004,1
410050213001,4
410050213002,1
410050213003,1
410050213004,1
410050214001,1
410050214002,1
410050214003,1
410050215001,1
410050215002,1
410050215003,1
410050216011,1
410050216012,1
410050216013,1
410050216014,1
410050216015,1
410050216021,1
410050216022,1
410050216023,1
410050217001,1
410050217002,1
410050217003,1
410050217004,1
410050218011,1
410050218012,1
410050218013,1
410050218021,1
410050218022,1
410050219001,1
410050219002,1
410050220001,1
410050220002,1
410050220003,1
410050220004,1
410050221011,1
410050221012,1
410050221013,1
410050221014,1
410050221051,1
410050221052,1
410050221053,1
410050221071,1
410050221072,1
410050221073,1
410050221081,1
410050221082,1
410050221091,1
410050221092,1
410050221101,1
410050221102,1
410050222011,1
410050222012,1
410050222013,1
410050222014,1
410050222051,1
410050222052,1
410050222061,1
410050222062,1
410050222063,1
410050222064,1
410050222071,1
410050222072,1
410050222073,1
410050222081,1
410050222082,1
410050222083,1
410050222084,1
410050223011,1
410050223012,1
410050223013,1
410050223021,1
410050223022,1
410050223023,1
410050224001,1
410050224002,4
410050224003,4
410050224004,4
410050224005,4
410050225011,4
410050225012,4
410050225021,4
410050225022,4
410050225023,4
410050226021,4
410050226022,4
410050226031,4
410050226032,4
410050226051,4
410050226052,4
410050226053,4
410050226054,4
410050226061,4
410050226062,4
410050226063,4
410050226064,4
410050227021,4
410050227022,4
410050227023,4
410050227024,4
410050227025,4
410050227071,4
410050227072,4
410050227073,4
410050227074,4
410050227081,4
410050227082,4
410050227083,4
410050227101,4
410050227102,4
410050228001,4
410050228002,4
410050228003,4
410050228004,4
410050229011,4
410050229012,4
410050229013,4
410050229041,4
410050229042,4
410050229051,4
410050229052,4
410050229053,4
410050229061,4
410050229062,4
410050229071,4
410050229072,4
410050230011,1
410050230012,3
410050230021,3
410050230022,4
410050231001,3
410050231002,3
410050231003,3
410050232011,3
410050232012,3
410050232021,3
410050232022,3
410050232023,1
410050232024,1
410050233001,3
410050233002,3
410050233003,3
410050233004,3
410050234011,3
410050234012,3
410050234013,3
410050234031,3
410050234032,3
410050234033,3
410050234041,3
410050234042,3
410050234043,3
410050234044,3
410050235001,3
410050235002,3
410050235003,3
410050235004,3
410050235005,3
410050236001,3
410050236002,3
410050236003,3
410050237001,4
410050237002,3
410050237003,3
410050237004,3
410050238001,4
410050238002,4
410050238003,4
410050238004,4
410050238005,4
410050239011,4
410050239012,4
410050239013,4
410050239014,4
410050239021,3
410050239022,3
410050239023,4
410050240001,4
410050240002,3
410050241001,3
410050241002,3
410050241003,3
410050242001,3
410050242002,3
410050242003,3
410050242004,3
410050242005,3
410050243021,3
410050243022,3
410050243023,3
410050243031,3
410050243032,3
410050243033,3
410050243034,3
410050243041,3
410050243042,3
410050243043,3
410050244011,4
410050244012,4
410050244021,4
410050244022,4
410050244023,4
410059800001,3
410079501001,5
410079501002,5
410079501003,5
410079502001,5
410079502002,5
410079502003,5
410079502004,5
410079503001,5
410079503002,5
410079503003,5
410079504001,5
410079504002,5
410079504003,5
410079505001,5
410079505002,5
410079505003,5
410079505004,5
410079506001,5
410079506002,5
410079506003,5
410079507001,5
410079507002,5
410079509001,5
410079509002,5
410079509003,5
410079509004,5
410079509005,5
410079511001,5
410079511002,5
410079511003,5
410079511004,5
410079512001,5
410079512002,5
410079512003,5
410079513001,5
410079513002,5
410079900000,5
410099702011,5
410099702012,5
410099702013,5
410099702021,5
410099702022,5
410099702023,5
410099703001,5
410099703002,5
410099703003,5
410099703004,5
410099703005,5
410099704001,5
410099704002,5
410099705001,5
410099705002,5
410099705003,5
410099705004,5
410099705005,5
410099706001,5
410099706002,5
410099706003,5
410099706004,5
410099707001,5
410099707002,5
410099707003,5
410099707004,5
410099708001,5
410099708002,5
410099708003,5
410099708004,5
410099709001,5
410099709002,5
410099709003,5
410099709004,5
410099710001,5
410099710002,5
410099710003,5
410099711001,5
410099711002,5
410099711003,5
410110001011,2
410110001012,2
410110001021,2
410110001022,2
410110001031,2
410110001032,2
410110001033,2
410110002001,2
410110002002,2
410110002003,2
410110003001,2
410110003002,2
410110003003,2
410110003004,2
410110004011,2
410110004012,2
410110004013,2
410110004021,2
410110004022,2
410110004023,2
410110005021,2
410110005022,2
410110005023,2
410110005031,2
410110005032,2
410110005051,2
410110005052,2
410110005053,2
410110005054,2
410110005061,2
410110005062,2
410110006001,2
410110006002,2
410110006003,2
410110007011,2
410110007012,2
410110007013,2
410110007014,2
410110007015,2
410110007021,2
410110007022,2
410110007023,2
410110008001,2
410110008002,2
410110009011,2
410110009012,2
410110009013,2
410110009014,2
410110009021,2
410110009022,2
410110009023,2
410110009024,2
410110010011,2
410110010012,2
410110010013,2
410110010021,2
410110010022,2
410110010023,2
410110010024,2
410110011011,2
410110011012,2
410110011013,2
410110011021,2
410110011022,2
410110011023,2
410110011024,2
410119901010,2
410139501011,3
410139501012,3
410139501013,3
410139501021,3
410139501022,3
410139501023,3
410139502001,3
410139502002,3
410139502003,3
410139502004,3
410139503011,3
410139503012,3
410139503013,3
410139503021,3
410139503022,3
410139503023,3
410139504011,3
410139504012,3
410139504021,3
410139504022,3
410159501001,2
410159501002,2
410159501003,2
410159502011,2
410159502012,2
410159502021,2
410159502022,2
410159503011,2
410159503012,2
410159503013,2
410159503014,2
410159503021,2
410159503022,2
410159503023,2
410159503024,2
410159504011,2
410159504012,2
410159504013,2
410159504021,2
410159504022,2
410159901010,2
410170001001,3
410170002011,3
410170002012,3
410170002021,3
410170002022,3
410170002023,3
410170003011,3
410170003012,3
410170003013,3
410170003014,3
410170003021,3
410170003022,3
410170003023,3
410170004011,3
410170004012,3
410170004013,3
410170004031,3
410170004041,3
410170005011,3
410170005012,3
410170005013,3
410170005021,3
410170005022,3
410170005023,3
410170006011,3
410170006021,3
410170006022,3
410170006031,3
410170006032,3
410170007011,3
410170007012,3
410170007021,3
410170007022,3
410170007023,3
410170008001,3
410170008002,3
410170008003,3
410170008004,3
410170008005,3
410170009011,3
410170009012,3
410170009021,3
410170009022,3
410170010021,3
410170010022,3
410170010031,3
410170010032,3
410170010033,3
410170010041,3
410170010042,3
410170010043,3
410170010051,3
410170010052,3
410170011011,3
410170011012,3
410170011013,3
410170011021,3
410170011022,3
410170011023,3
410170012001,3
410170012002,3
410170012003,3
410170012004,3
410170013011,3
410170013012,3
410170013013,3
410170013021,3
410170013022,3
410170013023,3
410170013024,3
410170014011,3
410170014012,3
410170014013,3
410170014021,3
410170014022,3
410170015011,3
410170015012,3
410170015013,3
410170015021,3
410170015022,3
410170016011,3
410170016012,3
410170016021,3
410170016022,3
410170017011,3
410170017012,3
410170017013,3
410170017021,3
410170017022,3
410170018011,3
410170018012,3
410170018013,3
410170018021,3
410170018022,3
410170018023,3
410170019011,3
410170019031,3
410170019032,3
410170019033,3
410170019041,3
410170019042,3
410170019043,3
410170020011,3
410170020021,3
410170020022,3
410170020023,3
410170021011,3
410170021012,3
410170021013,3
410170021021,3
410170021031,3
410170021032,3
410190100001,2
410190100002,2
410190200001,2
410190200002,2
410190200003,2
