GEOID,DISTRICT
410019501001,5
410019501002,5
410019501003,5
410019502001,5
410019502002,5
410019502003,5
410019503001,5
410019503002,5
410019503003,5
410019504001,5
410019504002,5
410019504003,5
410019505001,5
410019505002,5
410019506001,5
410019506002,5
410019506003,5
410030001011,6
410030001012,6
410030001013,6
410030001021,6
410030001022,6
410030002021,6
410030002022,6
410030002023,6
410030004011,6
410030004012,6
410030004021,6
410030004022,6
410030004023,6
410030005001,6
410030005002,6
410030005003,6
410030006001,6
410030006002,6
410030006003,6
410030009001,6
410030009002,6
410030009003,6
410030009004,6
410030009005,6
410030010011,6
410030010012,6
410030010013,6
410030010021,6
410030010022,6
410030010023,6
410030011011,6
410030011012,6
410030011013,6
410030011014,6
410030011021,6
410030011022,6
410030011023,6
410030011024,6
410030101011,6
410030101012,6
410030101013,6
410030101021,6
410030101022,6
410030101023,6
410030102001,6
410030102002,6
410030102003,6
410030103001,6
410030103002,6
410030103003,6
410030104001,6
410030104002,6
410030104003,6
410030104004,6
410030106011,6
410030106012,6
410030106021,6
410030106022,6
410030107021,6
410030107022,6
410030107023,6
410030108001,6
410030108002,6
410030108003,6
410030109001,6
410030109002,6
410030109003,6
410050201011,4
410050201012,4
410050201021,4
410050201022,4
410050202011,4
410050202012,4
410050202013,4
410050202021,4
410050202022,4
410050203021,4
410050203022,4
410050203023,4
410050203031,4
410050203032,4
410050203033,4
410050203034,4
410050203041,4
410050203042,4
410050203043,4
410050204011,4
410050204012,4
410050204013,4
410050204014,4
410050204031,4
410050204032,4
410050204041,4
410050204042,4
410050205031,4
410050205032,4
410050205041,4
410050205042,4
410050205043,4
410050205044,4
410050205051,4
410050205052,4
410050205061,4
410050205062,4
410050205071,4
410050205072,4
410050205073,4
410050206011,4
410050206012,4
410050206021,4
410050206022,4
410050206023,4
410050207001,4
410050207002,4
410050207003,4
410050208001,2
410050208002,2
410050208003,2
410050209001,2
410050209002,2
410050209003,2
410050210001,2
410050210002,2
410050210003,2
410050211001,2
410050211002,2
410050211003,2
410050211004,2
410050212001,2
410050212002,2
410050212003,2
410050212004,4
410050213001,4
410050213002,4
410050213003,4
410050213004,4
410050214001,2
410050214002,2
410050214003,2
410050215001,2
410050215002,2
410050215003,2
410050216011,2
410050216012,2
410050216013,2
410050216014,2
410050216015,2
410050216021,2
410050216022,2
410050216023,2
410050217001,4
410050217002,4
410050217003,4
410050217004,4
410050218011,2
410050218012,2
410050218013,2
410050218021,4
410050218022,2
410050219001,4
410050219002,4
410050220001,2
410050220002,2
410050220003,2
410050220004,2
410050221011,2
410050221012,2
410050221013,2
410050221014,2
410050221051,2
410050221052,2
410050221053,2
410050221071,2
410050221072,2
410050221073,2
410050221081,2
410050221082,2
410050221091,2
410050221092,2
410050221101,2
410050221102,2
410050222011,2
410050222012,2
410050222013,2
410050222014,2
410050222051,2
410050222052,2
410050222061,2
410050222062,2
410050222063,2
410050222064,2
410050222071,2
410050222072,2
410050222073,2
410050222081,2
410050222082,2
410050222083,2
410050222084,2
410050223011,2
410050223012,2
410050223013,2
410050223021,2
410050223022,2
410050223023,4
410050224001,4
410050224002,4
410050224003,4
410050224004,4
410050224005,4
410050225011,4
410050225012,4
410050225021,4
410050225022,4
410050225023,4
410050226021,4
410050226022,4
410050226031,4
410050226032,4
410050226051,4
410050226052,4
410050226053,4
410050226054,4
410050226061,4
410050226062,4
410050226063,4
410050226064,4
410050227021,4
410050227022,4
410050227023,4
410050227024,4
410050227025,4
410050227071,4
410050227072,4
410050227073,4
410050227074,4
410050227081,4
410050227082,4
410050227083,4
410050227101,4
410050227102,4
410050228001,4
410050228002,4
410050228003,4
410050228004,4
410050229011,4
410050229012,4
410050229013,4
410050229041,4
410050229042,4
410050229051,4
410050229052,4
410050229053,4
410050229061,4
410050229062,4
410050229071,4
410050229072,4
410050230011,4
410050230012,5
410050230021,5
410050230022,4
410050231001,5
410050231002,5
410050231003,5
410050232011,5
410050232012,5
410050232021,5
410050232022,5
410050232023,2
410050232024,2
410050233001,5
410050233002,5
410050233003,5
410050233004,5
410050234011,5
410050234012,5
410050234013,5
410050234031,5
410050234032,5
410050234033,5
410050234041,5
410050234042,5
410050234043,5
410050234044,5
410050235001,5
410050235002,5
410050235003,5
410050235004,5
410050235005,5
410050236001,5
410050236002,5
410050236003,5
410050237001,4
410050237002,5
410050237003,5
410050237004,5
410050238001,4
410050238002,4
410050238003,4
410050238004,4
410050238005,4
410050239011,4
410050239012,4
410050239013,4
410050239014,4
410050239021,5
410050239022,5
410050239023,4
410050240001,4
410050240002,5
410050241001,5
410050241002,5
410050241003,5
410050242001,5
410050242002,5
410050242003,5
410050242004,5
410050242005,5
410050243021,5
410050243022,5
410050243023,5
410050243031,5
410050243032,5
410050243033,5
410050243034,5
410050243041,5
410050243042,5
410050243043,5
410050244011,4
410050244012,4
410050244021,4
410050244022,4
410050244023,4
410059800001,5
410079501001,1
410079501002,1
410079501003,1
410079502001,1
410079502002,1
410079502003,1
410079502004,1
410079503001,1
410079503002,1
410079503003,1
410079504001,1
410079504002,1
410079504003,1
410079505001,1
410079505002,1
410079505003,1
410079505004,1
410079506001,1
410079506002,1
410079506003,1
410079507001,1
410079507002,1
410079509001,1
410079509002,1
410079509003,1
410079509004,1
410079509005,1
410079511001,1
410079511002,1
410079511003,1
410079511004,1
410079512001,1
410079512002,1
410079512003,1
410079513001,1
410079513002,1
410079900000,1
410099702011,1
410099702012,1
410099702013,1
410099702021,1
410099702022,1
410099702023,1
410099703001,1
410099703002,1
410099703003,1
410099703004,1
410099703005,1
410099704001,1
410099704002,1
410099705001,1
410099705002,1
410099705003,1
410099705004,1
410099705005,1
410099706001,1
410099706002,1
410099706003,1
410099706004,1
410099707001,1
410099707002,1
410099707003,1
410099707004,1
410099708001,1
410099708002,1
410099708003,1
410099708004,1
410099709001,1
410099709002,1
410099709003,1
410099709004,1
410099710001,1
410099710002,1
410099710003,1
410099711001,1
410099711002,1
410099711003,1
410110001011,3
410110001012,3
410110001021,3
410110001022,3
410110001031,3
410110001032,3
410110001033,3
410110002001,3
410110002002,3
410110002003,3
410110003001,3
410110003002,3
410110003003,3
410110003004,3
410110004011,3
410110004012,3
410110004013,3
410110004021,3
410110004022,3
410110004023,3
410110005021,3
410110005022,3
410110005023,3
410110005031,3
410110005032,3
410110005051,3
410110005052,3
410110005053,3
410110005054,3
410110005061,3
410110005062,3
410110006001,3
410110006002,3
410110006003,3
410110007011,3
410110007012,3
410110007013,3
410110007014,3
410110007015,3
410110007021,3
410110007022,3
410110007023,3
410110008001,3
410110008002,3
410110009011,3
410110009012,3
410110009013,3
410110009014,3
410110009021,3
410110009022,3
410110009023,3
410110009024,3
410110010011,3
410110010012,3
410110010013,3
410110010021,3
410110010022,3
410110010023,3
410110010024,3
410110011011,3
410110011012,3
410110011013,3
410110011021,3
410110011022,3
410110011023,3
410110011024,3
410119901010,3
410139501011,5
410139501012,5
410139501013,5
410139501021,5
410139501022,5
410139501023,5
410139502001,5
410139502002,5
410139502003,5
410139502004,5
410139503011,5
410139503012,5
410139503013,5
410139503021,5
410139503022,5
410139503023,5
410139504011,5
410139504012,5
410139504021,5
410139504022,5
410159501001,3
410159501002,3
410159501003,3
410159502011,3
410159502012,3
410159502021,3
410159502022,3
410159503011,3
410159503012,3
410159503013,3
410159503014,3
410159503021,3
410159503022,3
410159503023,3
410159503024,3
410159504011,3
410159504012,3
410159504013,3
410159504021,3
410159504022,3
410159901010,3
410170001001,5
410170002011,5
410170002012,5
410170002021,5
410170002022,5
410170002023,5
410170003011,5
410170003012,5
410170003013,5
410170003014,5
410170003021,5
410170003022,5
410170003023,5
410170004011,5
410170004012,5
410170004013,5
410170004031,5
410170004041,5
410170005011,5
410170005012,5
410170005013,5
410170005021,5
410170005022,5
410170005023,5
410170006011,5
410170006021,5
410170006022,5
410170006031,5
410170006032,5
410170007011,5
410170007012,5
410170007021,5
410170007022,5
410170007023,5
410170008001,5
410170008002,5
410170008003,5
410170008004,5
410170008005,5
410170009011,5
410170009012,5
410170009021,5
410170009022,5
410170010021,5
410170010022,5
410170010031,5
410170010032,5
410170010033,5
410170010041,5
410170010042,5
410170010043,5
410170010051,5
410170010052,5
410170011011,5
410170011012,5
410170011013,5
410170011021,5
410170011022,5
410170011023,5
410170012001,5
410170012002,5
410170012003,5
410170012004,5
410170013011,5
410170013012,5
410170013013,5
410170013021,5
410170013022,5
410170013023,5
410170013024,5
410170014011,5
410170014012,5
410170014013,5
410170014021,5
410170014022,5
410170015011,5
410170015012,5
410170015013,5
410170015021,5
410170015022,5
410170016011,5
410170016012,5
410170016021,5
410170016022,5
410170017011,5
410170017012,5
410170017013,5
410170017021,5
410170017022,5
410170018011,5
410170018012,5
410170018013,5
410170018021,5
410170018022,5
410170018023,5
410170019011,5
410170019031,5
410170019032,5
410170019033,5
410170019041,5
410170019042,5
410170019043,5
410170020011,5
410170020021,5
410170020022,5
410170020023,5
410170021011,5
410170021012,5
410170021013,5
410170021021,5
410170021031,5
410170021032,5
410190100001,3
410190100002,3
410190200001,3
410190200002,3
410190200003,3
410190200004,3
410190300001,3
410190300002,3
410190300003,3
410190400001,3
410190400002,3
410190400003,3
410190500011,3
410190500012,3
410190500013,3
410190500014,3
410190500031,3
410190500032,3
410190500041,3
410190500042,3
410190500043,3
410190600001,3
410190600002,3
410190600003,3
410190700001,3
410190700002,3
410190700003,3
410190800011,3
410190800012,3
410190800021,3
410190800022,3
410190800023,3
410190800024,3
410190900011,3
410190900012,3
410190900013,3
410190900014,3
410190900021,3
410191000001,3
410191000002,3
410191000003,3
410191100001,3
410191100002,3
410191100003,3
410191200011,3
410191200012,3
410191200021,3
410191200022,3
410191200023,3
410191200024,3
410191200025,3
410191300011,3
410191300012,3
410191300021,3
410191300022,3
410191300023,3
410191400001,3
410191400002,3
410191400003,3
410191400004,3
410191400005,3
410191500011,3
410191500012,3
410191500013,3
410191500021,3
410191500022,3
410191600011,3
410191600012,3
410191600013,3
410191600021,3
410191600022,3
410191600023,3
410191700001,3
410191700002,3
410191700003,3
410191800001,3
410191800002,3
410191800003,3
410191800004,3
410191800005,3
410191900001,3
410191900002,3
410191900003,3
410191900004,3
410192000001,3
410192000002,3
410192000003,3
410192000004,3
410192100001,3
410192100002,3
410192100003,3
410192100004,3
410192100005,3
410199900000,3
410219601001,5
410219601002,5
410239601001,5
410239601002,5
410239601003,5
410239602011,5
410239602012,5
410239602021,5
410239602022,5
410239602023,5
410259601011,5
410259601012,5
410259601021,5
410259601022,5
410259601023,5
410259602001,5
410259602002,5
410279501001,5
410279501002,5
410279501003,5
410279501004,5
410279502011,5
410279502012,5
410279502013,5
410279502021,5
410279502022,5
410279503011,5
410279503012,5
410279503013,5
410279503021,5
410279503022,5
410279503023,5
410279504001,5
410279504002,5
410279504003,5
410279504004,5
410290001001,3
410290001002,3
410290002011,3
410290002012,3
410290002013,3
410290002021,3
410290002022,3
410290002023,3
410290002031,3
410290002032,3
410290002033,3
410290003001,3
410290003002,3
410290003003,3
410290003004,3
410290004031,3
410290004032,3
410290004033,3
410290004041,3
410290004042,3
410290004051,3
410290004052,3
410290004061,3
410290004062,3
410290004063,3
410290005011,3
410290005012,3
410290005021,3
410290005022,3
410290005023,3
410290005024,3
410290006031,3
410290006032,3
410290006041,3
410290006042,3
410290006051,3
410290006052,3
410290006053,3
410290006061,3
410290007011,3
410290007012,3
410290007021,3
410290007022,3
410290007023,3
410290008001,3
410290008002,3
410290008003,3
410290008004,3
410290009011,3
410290009012,3
410290009013,3
410290009021,3
410290009022,3
410290009023,3
410290010011,3
410290010012,3
410290010013,3
410290010014,3
410290010021,3
410290010022,3
410290010023,3
410290010024,3
410290011001,3
410290011002,3
410290011003,3
410290011004,3
410290012001,3
410290012002,3
410290012003,3
410290013011,3
410290013012,3
410290013013,3
410290013031,3
410290013032,3
410290013033,3
410290013034,3
410290013041,3
410290013042,3
410290013043,3
410290013044,3
410290014011,3
410290014012,3
410290014013,3
410290014021,3
410290014031,3
410290014032,3
410290015001,3
410290015002,3
410290015003,3
410290015004,3
410290016011,3
410290016012,3
410290016013,3
410290016021,3
410290016022,3
410290016023,3
410290016024,3
410290016025,3
410290017011,3
410290017012,3
410290017021,3
410290017022,3
410290018011,3
410290018012,3
410290018013,3
410290018014,3
410290018021,3
410290018022,3
410290018023,3
410290019001,3
410290019002,3
410290020001,3
410290020002,3
410290021001,3
410290021002,3
410290021003,3
410290022001,3
410290022002,3
410290022003,3
410290022004,3
410290023001,3
410290023002,3
410290024001,3
410290024002,3
410290025001,3
410290025002,3
410290025003,3
410290026001,3
410290026002,3
410290027011,3
410290027012,3
410290027021,3
410290027022,3
410290027023,3
410290028001,3
410290028002,3
410290028003,3
410290029011,3
410290029012,3
410290029013,3
410290029021,3
410290029022,3
410290029023,3
410290030011,3
410290030012,3
410290030013,3
410290030014,3
410290030021,3
410290030022,3
410290030023,3
410319400001,5
410319400002,5
410319601001,5
410319601002,5
410319602011,5
410319602012,5
410319602021,5
410319602022,5
410319602023,5
410319602024,5
410319603011,5
410319603012,5
410319603013,5
410319603014,5
410319603031,5
410319603032,5
410319603041,5
410319603051,5
410319603052,5
410333601001,3
410333601002,3
410333603001,3
410333603002,3
410333603003,3
410333603004,3
410333604001,3
410333604002,3
410333604003,3
410333605001,3
410333605002,3
410333605003,3
410333605004,3
410333605005,3
410333606011,3
410333606012,3
410333606013,3
410333606021,3
410333606022,3
410333606023,3
410333607011,3
410333607012,3
410333607013,3
410333607014,3
410333607031,3
410333607032,3
410333607041,3
410333607042,3
410333608001,3
410333608002,3
410333608003,3
410333608004,3
410333609001,3
410333609002,3
410333610001,3
410333610002,3
410333610003,3
410333610004,3
410333611011,3
410333611012,3
410333611013,3
410333611014,3
410333611021,3
410333611022,3
410333611023,3
410333612011,3
410333612012,3
410333612013,3
410333612021,3
410333612022,3
410333613011,3
410333613012,3
410333613021,3
410333613022,3
410333614001,3
410333614002,3
410333615001,3
410333615002,3
410333616011,3
410333616012,3
410333616013,3
410333616014,3
410333616021,3
410333616022,3
410333616023,3
410359701001,5
410359701002,5
410359701003,5
410359701004,5
410359702011,5
410359702012,5
410359702021,3
410359702022,3
410359702023,3
410359703001,3
410359703002,3
410359703003,3
410359703004,3
410359704001,3
410359705001,5
410359705002,5
410359706001,3
410359707001,3
410359707002,3
410359708001,3
410359708002,3
410359709011,3
410359709012,3
410359709021,3
410359709022,3
410359710001,3
410359710002,3
410359711001,3
410359711002,3
410359711003,3
410359711004,3
410359712001,3
410359712002,3
410359712003,3
410359713001,3
410359713002,3
410359713003,3
410359713004,3
410359713005,3
410359713006,3
410359714001,3
410359714002,3
410359714003,3
410359714004,3
410359714005,3
410359715001,3
410359715002,3
410359715003,3
410359715004,3
410359715005,3
410359716001,3
410359716002,3
410359716003,3
410359716004,3
410359717001,3
410359717002,3
410359717003,3
410359717004,3
410359718001,3
410359718002,3
410359718003,3
410359719001,3
410359719002,3
410359719003,3
410359719004,3
410359719005,3
410359720001,3
410359720002,3
410359720003,3
410359720004,3
410379601001,5
410379601002,5
410379601003,5
410379602001,5
410379602002,5
410379602003,5
410379602004,5
410379602005,5
410379602006,5
410379602007,5
410390001001,5
410390001002,5
410390001003,6
410390001004,6
410390001005,5
410390002001,6
410390002002,6
410390002003,6
410390002004,6
410390003001,6
410390003002,6
410390004021,6
410390004022,6
410390004023,6
410390004031,6
410390004032,6
410390004033,6
410390004034,6
410390004041,6
410390004042,6
410390004043,6
410390005001,3
410390005002,6
410390005003,6
410390007021,3
410390007022,3
410390007051,3
410390007052,3
410390007053,3
410390007061,6
410390007062,3
410390007071,3
410390007072,3
410390007073,3
410390007081,6
410390007082,6
410390008001,3
410390008002,3
410390009021,6
410390009022,6
