GEOID,DISTRICT
48355000039,1
48355000107,1
48355000019,1
48355000001,1
48101000101,2
48101000301,2
48101000401,2
48355000037,1
48355000108,1
48355000085,1
48355000041,1
48355000071,1
48355000026,1
48355000127,1
48355000011,1
48355000036,1
48355000040,1
48355000081,1
48355000067,1
48355000032,1
48061000037,3
48061000017,3
48061000044,3
48061000079,3
48307000202,4
48257000017,5
48257000028,5
48257000030,5
48257000018,5
48051000114,6
48051000204,6
48051000301,6
48051000410,6
48307000401,4
48307000201,4
48055000108,7
48055000118,7
48055000405,7
48055000404,7
48055000410,7
48055000409,7
48055000401,7
48165000007,8
48165000008,8
48027000307,9
48063004004,10
48099000415,9
48457000003,11
48457000001,11
48247000002,12
48247000001,12
48247000003,12
48247000004,12
48247000005,12
48173000003,8
48173000002,8
48173000004,8
48061000078,3
48061000028,3
48061000042,3
48061000087,3
48061000035,3
48061000032,3
48453000443,7
48453000365,7
48453000361,7
48453000352,7
48453000358,7
48453000351,7
48453000301,7
48453000113,13
48453000227,6
48453000160,13
48453000146,13
48453000438,7
48453000428,7
48453000434,7
48453000432,7
48453000200,13
48453000202,7
48453000259,13
48029002082,14
48123000401,1
48123000102,1
48123000302,1
48123000402,1
48123000301,1
48123000101,1
48355000103,1
48355000100,1
48355000101,1
48355000082,1
48355000021,1
48355000051,1
48355000117,1
48355000065,1
48355000008,1
48355000091,1
48355000124,1
48371000007,8
48453000266,13
48453000256,7
48453000212,13
48453000364,7
48453000221,13
48453000233,13
48453000338,7
48453000330,7
48453000357,7
48453000232,13
48453000244,13
48453000128,13
48453000154,6
48453000153,13
48453000268,13
48453000328,13
48453000327,13
48453000331,13
48453000242,13
48453000273,13
48453000214,7
48453000106,6
48061000006,3
48061000027,3
48061000022,3
48061000040,3
48307000301,4
48055000103,7
48055000412,7
48419000008,15
48419000005,15
4841900001W,15
48165000006,8
48165000002,8
48165000003,8
48165000009,8
48165000004,8
48027000201,16
48027000208,16
48027000101,16
48027000103,16
48027000102,16
48027000203,16
48027000405,16
48027000413,16
48027000412,16
48027000404,16
48027000401,16
48027000209,16
48027000111,16
48027000210,16
48027000402,16
48027000313,16
48027000317,16
48027000107,6
48027000108,6
48417000303,4
48027000113,16
48027000304,9
48133000003,4
48133000009,4
48133000002,4
48061000050,3
48061000019,3
48061000021,3
48061000109,3
