GEOID,DISTRICT
48355000039,1
48355000107,1
48355000019,1
48355000001,1
48101000101,2
48101000301,2
48101000401,2
48355000037,1
48355000108,1
48355000085,1
48355000041,1
48355000071,1
48355000026,1
48355000127,1
48355000011,1
48355000036,1
48355000040,1
48355000081,1
48355000067,1
48355000032,1
48061000037,3
48061000017,3
48061000044,3
48061000079,3
48307000202,4
48257000017,5
48257000028,6
48257000030,5
48257000018,5
48051000114,7
48051000204,7
48051000301,7
48051000410,7
48307000401,4
48307000201,4
48055000108,8
48055000118,8
48055000405,8
48055000404,8
48055000410,8
48055000409,8
48055000401,8
48165000007,9
48165000008,9
48027000307,10
48063004004,11
48099000415,4
48457000003,12
48457000001,12
48247000002,1
48247000001,1
48247000003,13
48247000004,13
48247000005,13
48173000003,9
48173000002,9
48173000004,9
48061000078,3
48061000028,3
48061000042,3
48061000087,3
48061000035,3
48061000032,3
48453000443,14
48453000365,14
48453000361,14
48453000352,14
48453000358,14
48453000351,14
48453000301,14
48453000113,15
48453000227,15
48453000160,15
48453000146,15
48453000438,14
48453000428,14
48453000434,14
48453000432,14
48453000200,14
48453000202,14
48453000259,15
48029002082,16
48123000401,7
48123000102,7
48123000302,8
48123000402,1
48123000301,8
48123000101,8
48355000103,1
48355000100,1
48355000101,1
48355000082,1
48355000021,1
48355000051,1
48355000117,1
48355000065,1
48355000008,1
48355000091,1
48355000124,1
48371000007,9
48453000266,14
48453000256,14
48453000212,14
48453000364,14
48453000221,14
48453000233,14
48453000338,14
48453000330,14
48453000357,14
48453000232,14
48453000244,14
48453000128,15
48453000154,15
48453000153,15
48453000268,15
48453000328,15
48453000327,15
48453000331,15
48453000242,15
48453000273,14
48453000214,14
48453000106,15
48061000006,3
48061000027,3
48061000022,3
48061000040,3
48307000301,4
48055000103,8
48055000412,8
48419000008,11
48419000005,11
4841900001W,11
48165000006,9
48165000002,9
48165000003,9
48165000009,9
48165000004,9
48027000201,10
48027000208,10
48027000101,10
48027000103,10
48027000102,10
48027000203,10
48027000405,10
48027000413,10
48027000412,10
48027000404,10
48027000401,10
48027000209,10
48027000111,10
48027000210,10
48027000402,10
48027000313,10
48027000317,10
48027000107,10
48027000108,10
48417000303,4
48027000113,10
48027000304,10
48133000003,4
48133000009,4
48133000002,4
48061000050,3
48061000019,3
48061000021,3
48061000109,3
