GEOID,DISTRICT
1201100Q090,1
1201100U009,1
1201100U008,1
1201100C023,2
1201100D005,2
1201100D002,2
12009000516,3
12009000520,3
12009000517,3
12009000510,3
12009000313,3
12009000105,3
12009000100,3
12009000427,3
12009000410,3
12009000422,3
12009000135,3
12009000512,3
12009000525,3
12009000124,3
12009000125,3
12009000113,3
12009000506,3
1201100M024,2
12075000004,4
12075000ZZZ,4
12075000006,4
12075000002,4
12075000003,4
12075000008,4
12075000007,4
12045000003,5
12045000010,5
12119000130,6
12119000111,6
12119000113,6
12119000115,6
12119000112,6
12119000129,6
12057000707,7
12057000709,7
12057000951,8
12057000956,7
12057000557,8
12057000245,8
12057000555,9
12057000569,9
12057000247,8
12057000565,8
12057000014,8
12057000319,8
12057000318,8
12057000998,10
12057000116A,8
12031000140,11
12031000021,12
12086000348,1
12086000368,1
12086000360,1
12086000257,13
12086002581,13
12086000178,13
12086000241,13
12086000546,14
12086000582,13
12086000641,14
12009000527,3
12009000529,3
12009000108,3
12009000109,3
12009000428,3
12009000412,3
12009000322,3
12095000434,3
12009000118,3
12045000006,5
12045000005,5
12045000001,5
12045000002,5
12045000009,5
12037000001,5
12029000009,4
12055000023,15
1205500020N,15
12055000013,15
12055000010,15
1205500025D,15
12055000005,15
12055000022,15
12055000025,15
12055000017,15
1205500013L,15
12055000004,15
12055000002,15
1205500004A,15
12055000019,16
12055000016,15
1205500016A,15
12057000909,10
12057000932,10
12057000139B,10
12057000120,10
12057000901,10
12057000309,8
12057000535,9
12057000219,8
12057000159,10
12057000422,9
12057000457A,9
12057000423,9
12057000830,8
12057000834,8
12045000008,5
12045000007,5
12045000011,5
12045000004,5
12075000010,4
12055000012,15
1209300P-02,3
12055000021,15
12097000402,15
12097000403,15
12097000408,15
12097000420,15
12097000210,15
12097000410,15
12097000201,15
12097000211,15
12097000203,15
12097000112,15
12097000110,15
12097000523,15
12097000520,3
12097000506,15
12097000521,15
12097000522,15
12097000158,15
12097000300,15
12097000390,15
12097000105,15
12097000407,15
12097000451,15
12097000450,15
12097000401,15
12097000508,17
12097000504,3
12097000580,3
12097000400,15
12097000503,17
12097000202,15
12057000711,7
12057000754,7
12057000883,8
12057000969,8
12057000961,8
12057000973,8
12057000971,8
12057000012,8
12057000101A,8
12057000105A,8
12057000459,8
12057000463,9
12057000949,8
12057000713,7
12057000583,9
12057000595,9
12057000591,9
12057000585,9
12057000891,7
12057000721,7
12057000885,8
12057000889,7
12057000759,7
12057000755,7
12057000757,7
12057000160,8
12057000165,8
12057000301,8
12057000303,8
12057000307,8
12057000601,8
12009000114,3
12009000116,3
12009000134,3
12009000111,3
12009000112,3
12009000115,3
12009000106,3
12009000400,3
12009000403,3
12009000407,3
12009000417,3
12061000019,3
12061000005,3
12061000002,3
12061000017,3
12061000014,3
12061000016,3
12061ZZZZZZ,3
12061000015,3
12119000120,6
12119000118,6
12119000104,6
12119000103,6
12119000110,6
12119000114,6
12086000777,14
12086000727,14
12086000618,14
12086000627,14
12086000801,18
12086000856,18
12086000833,18
12086008391,18
12086000825,18
12086008390,18
12086000717,14
12086000543,13
12086000593,13
12086000997,13
12086009340,18
12086000888,18
12086000203,19
12105000225,7
12105000224,7
12105000514,15
12105000521,15
12105000513,15
12105000526,15
12105000307,7
12105000303,7
12105000540,15
12105000231,7
12105000233,7
12105000237,7
12105000238,7
12105000234,7
12105000235,7
12105000523,15
12105000527,15
12105000528,15
12105000229,7
12105000230,7
12105000517,7
12105000516,7
12105000250,7
12105000232,7
12105000251,7
12105000504,7
12105000501,7
12105000532,15
12105000531,15
12105000530,15
12105000329,15
12105000330,15
12105000323,15
12105000326,15
12105000336,15
12105000111,7
12105000110,7
12105000242,7
12105000215,7
12105000321,7
12105000327,7
12105000107,7
12105000301,7
12105000108,15
12105000411,15
12105000420,15
12097000412,15
12097000391,15
12097000307,15
12097000353,15
12097000309,15
12097000502,3
12097000505,15
12097000553,3
12097000552,15
12061000013,3
12061000029,3
12061000012,3
12061000022,3
12061000035,3
12061000023,3
12061000031,3
12119000123,6
12031000061,12
1200300003A,11
1200300002A,11
12007000019,4
12007000009,4
12043000009,16
12043000006,16
12043000007,16
12043000005,16
12043000013,16
12085000050,16
12085000026,16
12085000066,16
12029000004,4
12119000117,6
12105000522,15
12105000332,15
12105000105,15
12105000104,15
12105000103,15
12105000123,15
12105000124,15
12105000505,7
12105000509,7
12105000408,15
12105000314,15
12105000306,15
12105000409,15
12105000247,7
12105000244,7
12105000245,7
12105000507,7
12105000312,15
12105000310,15
12105000340,15
12105000117,7
12105000304,7
12105000313,15
12105000319,15
12105000338,15
12105000510,7
12105000334,7
12105000503,7
12061000003,3
12119000119,6
12119000102,6
12119000101,6
12119000108,6
12031000249,12
12031000079,11
12031000283,11
12031000109,12
12031000120,11
12021000067,20
12007000006,4
12021000108,20
12021000089,20
12021000134,1
12021000056,20
12021000072,20
12021000100,20
12021000086,20
12021000071,20
12021000118,20
12021000105,20
12021000104,20
12021000113,20
12021000021,1
12021000017,1
12075000009,4
120170100.1,6
12075000012,4
12075000020,4
12041000004,4
12075000001,4
12119000106,6
12119000105,6
12119000109,6
12119000127,6
12031000273,11
12031000241,11
12031000222,11
12031000281,11
12061000021,3
12061000025,3
12061000026,16
12061000009,3
12007000016,4
12055000015,15
12055000001,15
12055000003,15
12075000005,4
12075000013,4
12097000304,15
12097000200,17
12097000500,3
12097000501,3
12031000016,12
12031000142,11
12031000182,11
12031000178,11
12031000288,11
12031000186,11
12031000155,11
12031000123,12
12031000201,11
12031000145,11
12031000151,11
12031000027,12
12031000122,11
12031000096,12
12031000090,12
12001000009,4
12001000034,4
12001000036,4
12001000031,4
12001000023,4
12097000107,15
