GEOID,DISTRICT
36005000141,1
36005000126,1
36005000142,1
36005000643,2
36005000943,3
36005000962,3
36005000475,3
36005000476,3
36005000418,1
36005000422,1
36005000847,1
36005000850,1
36005000673,4
36005000672,4
36005000675,4
36005000295,1
36005000303,1
36005000296,1
36005000300,1
36005000507,3
36099000020,5
36099000006,5
36099000013,5
36099000015,5
36005000780,4
36005000453,3
36005000381,1
36005000430,1
36005000018,4
36005000019,4
36005000513,3
36005000557,3
36005000946,3
36005000959,3
36005000997,3
36005000949,3
36005000957,3
36005000948,3
36005000955,3
36005000958,3
36005000676,4
36005000749,3
36005000764,3
36005000765,3
36005000255,1
36005000121,1
36005000091,1
36005000144,1
36005000794,4
36005000231,1
36005000178,4
36005000179,4
36103000494,6
36103000506,6
36103000186,7
36103000446,7
36103000051,6
36005000807,1
36005000776,1
36005000649,2
36005000362,2
36005000567,2
36005000574,2
36005000282,1
36005000302,1
36005000187,4
36005000188,4
36005000183,4
36005000182,4
36005000614,1
36005000494,3
36005000631,2
36005000342,1
36005000119,1
36005000140,1
36005000732,3
36005000730,3
36005000708,4
36005000456,3
36005000448,3
36005000561,3
36005000009,4
36005000006,4
36005000165,1
36005000167,1
36005000360,2
36005000361,2
36005000442,2
36005000971,3
36005000937,3
36005000966,3
36005000594,1
36005000309,1
36005000900,1
36005000903,1
36005000581,2
36005000577,1
36005000281,1
36005000346,1
36005000347,1
36005000066,4
36005000069,4
36005000503,3
36005000566,3
36005000941,3
36005000657,4
36107000005,8
36107000008,8
36107000010,8
36107000015,8
36107000017,8
36107000009,8
36107000011,8
36069000071,9
36069000063,5
36069000068,5
36005000472,3
36005000468,3
36005000469,3
36103000097,6
36103000010,6
36103000123,6
36103000217,7
36103000273,7
36103000164,7
36103000459,7
36103001019,7
36053000011,10
36053000007,10
36053000032,10
36053000039,10
36053000028,10
36103000493,6
36103000633,6
36103000095,6
36103000418,7
36103000299,7
36103000996,7
36103000206,7
36103000812,6
36103000716,6
36103000651,6
36103000315,7
36103000343,7
36103000278,7
36103001014,7
36103000198,7
36103000385,7
36035000007,11
36053000047,10
36053000043,10
36053000012,10
36069000023,5
36069000074,5
36069000065,5
36007000107,8
36007000108,8
36007000104,8
36007000106,8
36007000113,8
36007000099,8
36007000100,8
36007000103,8
36007000102,8
36007000098,8
36007000105,8
36007000115,8
36007000097,8
36007000101,8
36007000125,8
36007000121,8
36007000120,8
36007000119,8
36007000127,8
36007000126,8
36007000035,8
36007000133,8
36007000124,8
36007000085,8
36007000084,8
36007000009,8
36107000007,8
36107000031,8
36107000029,8
36107000027,8
36107000030,8
36107000032,8
36087000158,12
36087000171,12
36087000201,12
36087000249,12
36087000241,12
36087000212,12
36087000164,12
36087000081,12
36087000024,12
36087000001,12
36087000075,12
36087000033,12
36021000042,13
36021000043,13
36021000009,13
36103001028,7
36103000497,6
36103000364,7
36103000447,7
36103000301,7
36103000241,7
36103000202,7
36103000184,7
36103000167,7
36103000456,7
36103000276,7
36103000432,7
36103000950,6
36103000715,6
36103000810,7
36045000026,5
36087000079,12
36087000118,12
36087000107,12
36087000004,12
36087000011,12
36087000162,12
36087000175,12
36087000242,12
36087000255,12
36107000039,8
36107000018,8
36087000090,12
36087000275,12
36087000100,12
36087000005,12
36087000041,12
36087000126,12
36087000109,12
36087000130,12
36087000009,12
36087000240,12
36087000174,12
36087000190,12
36087000260,12
36087000210,12
36087000206,12
36087000141,12
36107000038,8
36107000037,8
36103000132,6
36103000905,6
36103000919,6
36103000971,6
36103000904,6
36103000629,6
36103000306,7
36103000658,6
36013000031,14
36013000101,14
36013000013,14
36013000012,14
36013000011,14
36013000067,14
36013000066,14
36045000025,10
36045000067,10
36117000011,5
36053000010,8
36053000023,10
36053000002,10
36053000013,10
36103000724,6
36103000405,7
36103000363,7
36103000992,7
36103000704,6
36103000993,7
36103000881,7
36017000031,8
36017000026,8
36017000002,8
36017000030,8
36017000001,8
36017000006,8
36017000022,8
36061000586,4
36061000424,4
36061001135,15
36061001134,15
36061001057,15
36061001054,15
36061000874,15
36061000912,16
36061001168,15
36061000911,16
36061000909,15
36039000022,13
36039000018,13
36045000037,10
36045000039,10
36045000031,10
36045000035,10
36045000034,10
36045000033,10
36053000014,8
36099000005,5
36099000008,5
36053000035,10
36053000033,10
36053000037,10
36053000034,10
36053000036,10
36053000025,10
36053000026,10
36005000510,3
36005000473,3
36001000256,13
36001000218,13
36001000206,13
36001000252,13
36001000202,13
36001000319,13
36001000318,13
36001000137,13
36001000136,13
36001000135,13
36001000134,13
36001000131,13
36001000130,13
36001000129,13
36001000264,13
36001000265,13
36001000262,13
36001000155,13
36001000157,13
36001000154,13
36001000150,13
36001000153,13
36001000147,13
36001000156,13
36001000144,13
36001000152,13
36039000021,13
36039000034,13
36039000030,13
36079000001,12
36021000047,13
36021000046,13
36039000023,13
36021000050,13
36021000011,13
36103000767,7
36103000803,7
36103000867,7
36103000863,7
36103000769,7
36103000603,6
36103000485,6
36103001043,7
36103000947,6
36103000958,6
36103000082,6
36103000412,7
36103000441,7
36103000199,7
36103000280,7
36103000308,7
36103000331,7
36103000281,7
36103000221,7
36103000467,7
36103000899,7
36103001024,7
36105000004,17
36105000061,17
36105000014,17
36105000051,17
36105000049,17
36091000122,11
36103000657,6
36103000662,6
36103000130,6
36103000698,6
36103000813,6
36103000263,7
36103000216,7
36103000779,7
36103000794,7
36103000029,6
36103000480,6
36103000693,6
36103000207,7
36103000181,7
36103000997,7
36103000999,7
36103000896,7
36103001048,7
36079000051,12
36035000036,11
36035000038,11
36035000006,11
36035000002,11
36103000027,6
36103000101,6
36103000665,6
36103000838,6
36103000664,6
36103000375,7
36103000825,6
36103000738,6
36017000027,8
36017000024,8
36017000005,8
36017000010,8
36079000074,12
36081001128,18
36081001130,18
36081001156,18
36081000124,19
36081000121,19
36081000184,19
36081000123,19
36081000122,19
36081000731,20
36081000762,20
36081000728,20
36081000831,19
36081000832,19
36081000830,19
36081000850,19
36081000936,20
36081000917,20
36081000916,20
36081000232,3
36081000233,3
36081000234,3
36081000393,3
36081000651,18
36081000659,18
36081000648,18
36081000650,18
36081000652,18
36081000643,18
36081000481,18
36081000480,18
36081000509,18
36081000510,18
