GEOID,DISTRICT
26039039006,1
26039039004,1
26047047017,1
26047047013,1
26143143004,2
26143143008,1
26143143005,2
26143143013,1
26143143014,2
26137137014,1
26137137004,1
26137137012,1
26039039007,1
26039039005,1
26039039003,1
26053053002,1
26053053008,1
26137137001,1
26137137008,1
26137137003,1
26137137005,1
26001001001,2
26001ZZZZZZ,2
26005005023,3
26005005024,3
26005005010,3
26005005009,3
26005005008,3
26005005017,3
26005005029,3
26047047022,1
26047047004,1
26047047008,1
26047047001,1
26031031003,1
26031031012,1
26001001008,2
26005005016,4
26005005007,3
26005005045,5
26011011015,2
26039039002,1
26073073019,2
26073073017,2
26081081204,5
26081081205,5
26081081051,5
26081081192,5
26081081191,5
26081081052,5
26081081208,3
26081081206,3
26081081199,5
26081081045,5
26081081006,5
26081081238,3
26081081119,5
26081000002,5
26081081209,5
26081081023,5
26081081026,3
26081081230,5
26081081012,5
26081081011,5
26081081009,5
26081081123,5
26081081187,5
26081081186,5
26081081081,3
26081081071,3
26081081082,3
26081081074,3
26081081020,5
26107107003,5
26107107005,5
26107107001,5
26107107016,5
26107107006,5
26107107004,5
26095095002,1
26095095001,1
26081081010,5
26081081013,5
26081081203,5
26081081064,5
26081081233,3
26081081091,3
26081081107,5
26043043011,1
26043043009,1
26043043010,1
26081081017,3
26081081014,3
26081081223,5
26081081225,5
26081081207,3
26043043013,1
26043043002,1
26043043006,1
26029029011,1
26029029019,1
26029029012,1
26029029003,1
26081081182,5
26081081184,5
26089089004,1
26089089005,1
26081081216,3
26081081215,3
26001001005,2
26065065025,6
26065065027,6
26065065038,6
26065065070,6
26065065066,6
26065065039,6
26065065048,6
26065065045,6
26065065094,6
26065065014,6
26065065008,6
26065065009,6
26029029001,1
26029029014,1
26029029016,1
26011011006,2
26011011004,2
26011011001,2
26011011005,2
26011011008,2
26069069009,2
26029029018,1
26029ZZZZZZ,1
26029029017,1
26065065078,6
26065065018,6
26065065005,6
26065065085,6
26065065075,6
26065065064,6
26065065067,6
26075075053,6
26075075062,6
26075075048,6
26065065036,6
26065065043,6
26065065011,6
26065065012,6
26065065015,6
26065065024,6
26065065089,6
26065065044,6
26065065059,6
26029029020,1
26029029002,1
26075075014,6
26075075047,6
26075075041,6
26075075033,6
26075075035,6
26075075034,6
26075075036,6
26065065072,6
26065065071,6
26065065001,6
26065065051,6
26065065117,6
26065065113,6
26065065115,6
26065065068,6
26011011003,2
26011011017,2
26163163196,7
26163163520,8
26163163521,8
26163163460,8
26163163461,8
26163005125,8
26163163519,8
26163163518,8
26163163085,9
26163163083,9
26065065031,6
26065065080,6
26075075061,6
26075075046,6
26027027021,4
26027027022,4
26027027020,4
26027027017,4
26027027002,4
26027027003,4
26027027004,4
26075075016,6
26075075019,6
26075075029,6
26075075028,6
26075075011,6
26075075045,6
26075075006,6
26065065034,6
26031031020,1
26031031018,1
26031031008,1
26031031021,1
26031031009,1
26031031019,1
26163163555,8
26163163517,8
26163163554,8
26163163928,9
26163163933,9
26163163666,9
26007007011,2
26007007006,2
26007007015,2
26007007010,2
26007ZZZZZZ,2
26007007014,2
26027027001,4
26027027016,4
26027027009,4
26027027018,4
26027027019,4
26027027013,4
26007007007,2
26007007002,2
26007007005,2
26007007001,2
26007007009,2
26081081142,5
26081081103,5
26081081022,3
26081081149,5
26081081120,5
26081081067,5
26081081061,5
26027027014,4
26027027012,4
26075075054,6
26075075005,6
26065065033,6
26081081034,5
26081081030,5
26081081007,5
26063063027,2
26063063002,2
26097097013,1
26097097010,1
26027027010,4
26163163032,10
26163163060,10
26163163093,9
26163163137,9
26163163876,9
26163163153,7
26163163183,7
26163163296,7
26163163297,7
26163163841,9
26163163752,11
26163163899,9
26163163134,9
26163163125,9
26163163605,7
26049049170,12
26049049110,12
26049049109,12
26049049099,12
26049049143,12
26049049023,12
26049049139,12
26049049142,12
26049049098,12
26049049097,12
26049049024,12
26049049212,12
26049049094,12
26049049095,12
26049049153,12
26049000017,12
26049049191,12
26049049064,12
26049049001,12
26049049003,12
26049049007,12
26049049091,12
26097097008,1
26097097001,1
26097097003,1
26069069012,2
26001001003,2
26019019010,1
26019019002,1
26019019009,1
26107107011,5
26163163516,8
26163163624,7
26163163860,9
26163163858,9
26163163889,9
26163163887,9
26163163877,9
26163163523,8
26163163524,8
26163163531,8
26163163532,8
26163163522,8
26163163112,9
26163163114,9
26163163542,7
26163163336,8
26163163334,8
26163163553,8
26163163551,8
26163163557,8
26163163548,8
26163163558,8
26163163225,7
26163163026,9
26163163075,7
26163163656,9
26163163246,7
26163163556,8
26049049022,12
26049049077,12
26049049066,12
26049049078,12
26049049165,12
26049049164,12
26049049163,12
26049049159,12
26049049161,12
26049049182,12
26049049205,12
26049049017,12
26049049010,12
26049049008,12
26063063010,2
26019019013,1
26075075063,6
26081081224,5
26081081055,5
26081081109,5
26081081248,3
26081081249,3
26081081092,3
26081081090,3
26063063006,2
26063063005,2
26163163235,7
26163163299,7
26163163611,7
26019019004,1
26019019011,1
26163163020,9
26163163854,9
26163163687,8
26163163572,9
26163163574,9
26163163316,8
26163163494,7
26163163525,8
26163163868,9
26163163285,7
26163163722,9
26163163540,7
26163163417,8
26163163580,8
26163163529,8
26163163477,8
26163163528,8
26163163253,7
26163163583,7
26163163582,7
26163163603,7
26163163668,9
26007007017,2
26007007003,2
26007007004,2
26143143009,2
26099099093,13
26099099094,13
26099099167,8
26099099318,8
26099099251,8
26099099103,13
26099099160,13
26099000017,13
26099099012,13
26099099144,13
26099099273,13
26099099180,8
26099099181,8
26163163803,10
26163163749,11
26163163750,11
26163163347,8
26163163355,8
26163163353,8
26163163351,8
26163163284,7
26163163306,8
26163163562,7
26163163560,9
26163163569,7
26163163563,7
26163163567,7
26163163578,9
26163163017,10
26163163016,10
26163163923,10
26163163924,10
26163163922,10
26163163897,9
26163163113,9
26163163005,9
26163163009,9
26163163909,9
26163ZZZZZZ,8
26163163851,9
26163163028,9
26163163980,9
26163163667,9
26163163847,9
26163163025,9
26163163915,9
26163163671,8
26163163672,8
26163163648,9
26163163845,9
26163163105,9
26163163104,9
26155155029,12
26155155006,12
26155155005,12
26155155014,2
26155155004,12
26155155028,12
26155155031,12
26155155007,12
26155155027,6
26155155010,12
26155155003,12
26155155033,6
26155155015,2
26163163068,10
26163163064,10
26163163039,10
26163163063,10
26089089009,1
26005005022,3
26075075031,6
26075075030,6
26065065083,6
26065065084,6
26065065118,6
26075075021,6
26075075002,6
26075075001,6
26075075003,6
26075075027,6
26075075018,6
26075075023,6
26075075022,6
26075075058,6
26019019012,1
26097097007,1
26097ZZZZZZ,1
26097097014,1
26097097009,1
26097097005,1
26097097006,1
26005005036,4
26005005015,4
26163163162,7
26163163159,7
26163163036,10
26163163054,10
26163163619,7
26163163602,7
26163163213,7
26163163608,7
26163163289,7
26163163863,9
26163163808,10
26163163807,10
26163163769,11
26163163862,10
26163163010,9
26163163981,9
26163163913,9
26163163129,9
26163163130,9
26163163258,7
26163163248,7
26163163771,9
26163163950,9
26163163097,9
26163163988,9
26163163870,9
26163163871,9
26163163973,9
26035035002,2
26035035007,2
26049049166,12
26049049156,12
26049049184,12
26049049185,12
26049049209,12
26049049146,12
26049049177,2
26049049147,12
26049049213,12
26049049116,12
26049049113,12
26049049121,12
26049049120,12
26049049042,12
26049049092,12
26049049081,12
26049049082,12
26049049074,12
26049049068,12
26049049151,12
26049049122,12
26049049175,2
26049049009,12
26049049186,12
26049049101,12
26049049199,12
26049049200,12
26049049198,12
26163163867,9
26163163693,8
26163163685,8
26163163670,8
26163163669,8
26163163593,9
26163163777,9
26097097012,1
26005005042,4
26005005006,4
26163163445,8
26163163447,8
26163163390,8
26163163564,7
26163163293,7
26163163832,7
26163163835,7
26163163139,9
26163163140,9
26163163733,9
26163163790,9
26163163856,9
26163163088,9
26163163078,7
26163163006,9
26163163007,9
26163163079,7
26163163967,9
26163163331,8
26163163309,8
26065065086,6
26065065111,6
26075075020,6
26075075060,6
26163163633,7
26163163635,7
26163163916,10
26163163734,9
26081081110,5
26081081181,5
26081081177,5
26081081065,5
26081081093,5
26081081084,3
26081081083,3
26081081190,5
26081081189,5
26081081075,3
26013013006,1
26013013007,1
26013013004,1
26075075007,6
26163163177,7
26163163301,7
26163163941,9
26163163965,9
26163163969,9
26163163878,9
26163163792,11
26163163102,9
26163163103,9
26163163744,11
26163163703,8
26163163756,11
26163163401,8
26163163388,8
26163163491,8
26163163493,8
26163163618,7
26163163638,7
26163163637,7
26107107009,5
26107107012,5
26107107010,5
26035035008,2
26035035009,2
26035035014,2
26163163781,9
26163163873,9
26065065041,6
26065065065,6
26065065104,6
26069069011,2
26063063016,2
26065065061,6
26065065007,6
26065065056,6
26065065109,6
26065065114,6
26065065069,6
26065065026,6
26065065106,6
26075075038,6
26075075049,6
26075075059,6
26075075008,6
26065065076,6
26065065077,6
26049049072,12
26049049067,12
26049049071,12
26049049137,12
26049049115,12
26049049118,12
26049049201,12
26049049202,12
26049049069,12
26099099027,13
26099099039,13
26099099151,13
26099099204,13
26099099280,8
26099099028,13
26099099159,13
26099099170,8
26099099164,8
26099099168,8
26099099001,13
26099099217,13
26099099208,13
26099099336,13
26099099115,13
26099099142,13
26099099122,13
26053053003,1
26053053001,1
26163163859,9
26071071004,1
26071071014,1
26071071006,1
26049049150,12
26049049014,12
26049049019,12
26049049195,12
26049049215,12
26049049102,12
26049049103,12
26049049020,12
26049049206,12
26049049173,2
26049049058,12
26049049059,12
26049049204,12
26049049133,12
26049049039,12
26049049040,12
26049049210,12
26049049207,12
26011ZZZZZZ,2
26011011002,2
26011011011,2
26011011012,2
26011011007,2
26065065010,6
26065065063,6
26065065110,6
26163163927,8
26163163450,8
26163163441,8
26163163546,7
26163163470,8
26163163449,8
26163163475,8
26163163511,7
