GEOID,DISTRICT
26039039006,1
26039039004,1
26047047017,1
26047047013,1
26143143004,2
26143143008,1
26143143005,1
26143143013,1
26143143014,2
26137137014,1
26137137004,1
26137137012,1
26039039007,1
26039039005,1
26039039003,1
26053053002,1
26053053008,1
26137137001,1
26137137008,1
26137137003,1
26137137005,1
26001001001,2
26001ZZZZZZ,2
26005005023,3
26005005024,3
26005005010,4
26005005009,3
26005005008,4
26005005017,4
26005005029,4
26047047022,1
26047047004,1
26047047008,1
26047047001,1
26031031003,1
26031031012,1
26001001008,2
26005005016,4
26005005007,4
26005005045,4
26011011015,2
26039039002,1
26073073019,5
26073073017,5
26081081204,5
26081081205,5
26081081051,5
26081081192,5
26081081191,5
26081081052,5
26081081208,3
26081081206,3
26081081199,5
26081081045,5
26081081006,5
26081081238,3
26081081119,5
26081000002,5
26081081209,5
26081081023,3
26081081026,3
26081081230,3
26081081012,5
26081081011,5
26081081009,5
26081081123,5
26081081187,5
26081081186,5
26081081081,3
26081081071,3
26081081082,3
26081081074,3
26081081020,5
26107107003,5
26107107005,5
26107107001,5
26107107016,5
26107107006,5
26107107004,5
26095095002,1
26095095001,1
26081081010,5
26081081013,5
26081081203,5
26081081064,5
26081081233,3
26081081091,3
26081081107,5
26043043011,1
26043043009,1
26043043010,1
26081081017,3
26081081014,3
26081081223,5
26081081225,3
26081081207,3
26043043013,1
26043043002,1
26043043006,1
26029029011,1
26029029019,1
26029029012,1
26029029003,1
26081081182,5
26081081184,5
26089089004,1
26089089005,1
26081081216,3
26081081215,3
26001001005,2
26065065025,6
26065065027,6
26065065038,6
26065065070,6
26065065066,6
26065065039,6
26065065048,6
26065065045,6
26065065094,6
26065065014,6
26065065008,6
26065065009,6
26029029001,1
26029029014,1
26029029016,1
26011011006,2
26011011004,2
26011011001,2
26011011005,2
26011011008,2
26069069009,2
26029029018,1
26029ZZZZZZ,1
26029029017,1
26065065078,6
26065065018,6
26065065005,6
26065065085,7
26065065075,6
26065065064,6
26065065067,6
26075075053,6
26075075062,6
26075075048,6
26065065036,6
26065065043,6
26065065011,6
26065065012,6
26065065015,6
26065065024,6
26065065089,6
26065065044,6
26065065059,6
26029029020,1
26029029002,1
26075075014,6
26075075047,6
26075075041,6
26075075033,6
26075075035,6
26075075034,6
26075075036,6
26065065072,6
26065065071,6
26065065001,6
26065065051,6
26065065117,6
26065065113,6
26065065115,6
26065065068,6
26011011003,2
26011011017,2
26163163196,8
26163163520,9
26163163521,9
26163163460,9
26163163461,9
26163005125,9
26163163519,9
26163163518,9
26163163085,8
26163163083,8
26065065031,6
26065065080,6
26075075061,6
26075075046,6
26027027021,4
26027027022,4
26027027020,4
26027027017,4
26027027002,4
26027027003,4
26027027004,4
26075075016,6
26075075019,6
26075075029,6
26075075028,6
26075075011,6
26075075045,6
26075075006,6
26065065034,6
26031031020,1
26031031018,1
26031031008,1
26031031021,1
26031031009,1
26031031019,1
26163163555,9
26163163517,8
26163163554,9
26163163928,10
26163163933,10
26163163666,10
26007007011,2
26007007006,2
26007007015,2
26007007010,2
26007ZZZZZZ,2
26007007014,2
26027027001,4
26027027016,4
26027027009,4
26027027018,4
26027027019,4
26027027013,4
26007007007,2
26007007002,2
26007007005,2
26007007001,2
26007007009,2
26081081142,5
26081081103,5
26081081022,3
26081081149,5
26081081120,5
26081081067,5
26081081061,5
26027027014,4
26027027012,4
26075075054,6
26075075005,6
26065065033,6
26081081034,5
26081081030,5
26081081007,5
26063063027,2
26063063002,2
26097097013,1
26097097010,1
26027027010,4
26163163032,10
26163163060,10
26163163093,10
26163163137,10
26163163876,10
26163163153,8
26163163183,8
26163163296,8
26163163297,8
26163163841,8
26163163752,8
26163163899,10
26163163134,10
26163163125,10
26163163605,8
26049049170,7
26049049110,7
26049049109,7
26049049099,7
26049049143,2
26049049023,7
26049049139,7
26049049142,7
26049049098,7
26049049097,7
26049049024,2
26049049212,2
26049049094,7
26049049095,7
26049049153,7
26049000017,7
26049049191,7
26049049064,7
26049049001,7
26049049003,7
26049049007,7
26049049091,7
26097097008,1
26097097001,1
26097097003,1
26069069012,2
26001001003,2
26019019010,1
26019019002,1
26019019009,1
26107107011,5
26163163516,8
26163163624,8
26163163860,10
26163163858,10
26163163889,10
26163163887,10
26163163877,10
26163163523,9
26163163524,9
26163163531,9
26163163532,9
26163163522,9
26163163112,10
26163163114,10
26163163542,8
26163163336,9
26163163334,9
26163163553,8
26163163551,8
26163163557,8
26163163548,8
26163163558,8
26163163225,8
26163163026,10
26163163075,8
26163163656,10
26163163246,8
26163163556,9
26049049022,7
26049049077,7
26049049066,7
26049049078,7
26049049165,7
26049049164,7
26049049163,7
26049049159,7
26049049161,7
26049049182,2
26049049205,7
26049049017,7
26049049010,7
26049049008,7
26063063010,2
26019019013,1
26075075063,6
26081081224,5
26081081055,5
26081081109,5
26081081248,3
26081081249,3
26081081092,3
26081081090,3
26063063006,2
26063063005,2
26163163235,8
26163163299,8
26163163611,8
26019019004,1
26019019011,1
26163163020,10
26163163854,10
26163163687,9
26163163572,10
26163163574,8
26163163316,9
26163163494,8
26163163525,9
26163163868,10
26163163285,8
26163163722,10
26163163540,8
26163163417,9
26163163580,9
26163163529,9
26163163477,9
26163163528,9
26163163253,8
26163163583,8
26163163582,8
26163163603,8
26163163668,10
26007007017,2
26007007003,2
26007007004,2
26143143009,1
26099099093,11
26099099094,11
26099099167,9
26099099318,9
26099099251,11
26099099103,11
26099099160,11
26099000017,11
26099099012,11
26099099144,11
26099099273,11
26099099180,9
26099099181,9
26163163803,12
26163163749,10
26163163750,13
26163163347,9
26163163355,9
26163163353,9
26163163351,9
26163163284,8
26163163306,9
26163163562,8
26163163560,8
26163163569,8
26163163563,8
26163163567,8
26163163578,8
26163163017,12
26163163016,12
26163163923,10
26163163924,10
26163163922,12
26163163897,10
26163163113,10
26163163005,10
26163163009,10
26163163909,10
26163ZZZZZZ,9
26163163851,10
26163163028,10
26163163980,10
26163163667,10
26163163847,8
26163163025,10
26163163915,10
26163163671,9
26163163672,9
26163163648,8
26163163845,8
26163163105,10
26163163104,10
26155155029,7
26155155006,2
26155155005,7
26155155014,2
26155155004,2
26155155028,7
26155155031,7
26155155007,7
26155155027,6
26155155010,2
26155155003,7
26155155033,6
26155155015,2
26163163068,12
26163163064,12
26163163039,12
26163163063,12
26089089009,1
26005005022,4
26075075031,6
26075075030,6
26065065083,6
26065065084,6
26065065118,6
26075075021,6
26075075002,6
26075075001,6
26075075003,6
26075075027,6
26075075018,6
26075075023,6
26075075022,6
26075075058,6
26019019012,1
26097097007,1
26097ZZZZZZ,1
26097097014,1
26097097009,1
26097097005,1
26097097006,1
26005005036,4
26005005015,4
26163163162,8
26163163159,8
26163163036,12
26163163054,12
26163163619,8
26163163602,8
26163163213,8
26163163608,8
26163163289,8
26163163863,10
26163163808,12
26163163807,12
26163163769,10
26163163862,10
26163163010,10
26163163981,10
26163163913,10
26163163129,10
26163163130,10
26163163258,8
26163163248,8
26163163771,10
26163163950,10
26163163097,10
26163163988,10
26163163870,10
26163163871,10
26163163973,10
26035035002,2
26035035007,2
26049049166,7
26049049156,7
26049049184,7
26049049185,7
26049049209,2
26049049146,7
26049049177,2
26049049147,7
26049049213,2
26049049116,7
26049049113,7
26049049121,7
26049049120,7
26049049042,7
26049049092,7
26049049081,7
26049049082,7
26049049074,7
26049049068,7
26049049151,7
26049049122,7
26049049175,2
26049049009,7
26049049186,7
26049049101,7
26049049199,7
26049049200,7
26049049198,7
26163163867,10
26163163693,9
26163163685,9
26163163670,9
26163163669,9
26163163593,8
26163163777,10
26097097012,1
26005005042,4
26005005006,4
26163163445,9
26163163447,9
26163163390,9
26163163564,8
26163163293,8
26163163832,8
26163163835,8
26163163139,10
26163163140,10
26163163733,10
26163163790,10
26163163856,10
26163163088,8
26163163078,8
26163163006,10
26163163007,10
26163163079,8
26163163967,10
26163163331,9
26163163309,9
26065065086,6
26065065111,6
26075075020,6
26075075060,6
26163163633,8
26163163635,8
26163163916,12
26163163734,10
26081081110,5
26081081181,5
26081081177,5
26081081065,5
26081081093,5
26081081084,3
26081081083,3
26081081190,5
26081081189,5
26081081075,3
26013013006,1
26013013007,1
26013013004,1
26075075007,6
26163163177,8
26163163301,8
26163163941,10
26163163965,10
26163163969,10
26163163878,10
26163163792,12
26163163102,10
26163163103,10
26163163744,8
26163163703,9
26163163756,8
26163163401,9
26163163388,9
26163163491,9
26163163493,9
26163163618,8
26163163638,8
26163163637,8
26107107009,5
26107107012,5
26107107010,5
26035035008,1
26035035009,2
26035035014,5
26163163781,10
26163163873,10
26065065041,6
26065065065,6
26065065104,6
26069069011,2
26063063016,2
26065065061,6
26065065007,6
26065065056,6
26065065109,6
26065065114,6
26065065069,6
26065065026,6
26065065106,6
26075075038,6
26075075049,6
26075075059,6
26075075008,6
26065065076,6
26065065077,6
26049049072,7
26049049067,7
26049049071,7
26049049137,2
26049049115,7
26049049118,7
26049049201,7
26049049202,7
26049049069,7
26099099027,11
26099099039,11
26099099151,11
26099099204,11
26099099280,9
26099099028,11
26099099159,11
26099099170,9
26099099164,9
26099099168,9
26099099001,11
26099099217,11
26099099208,11
26099099336,11
26099099115,11
26099099142,11
26099099122,11
26053053003,1
26053053001,1
26163163859,10
26071071004,1
26071071014,1
26071071006,1
26049049150,7
26049049014,7
26049049019,7
26049049195,7
26049049215,2
26049049102,7
26049049103,7
26049049020,7
26049049206,7
26049049173,2
26049049058,7
26049049059,7
26049049204,7
26049049133,2
26049049039,7
26049049040,7
26049049210,2
26049049207,7
26011ZZZZZZ,2
26011011002,2
26011011011,2
26011011012,2
26011011007,2
26065065010,6
26065065063,6
26065065110,6
26163163927,9
26163163450,9
26163163441,9
26163163546,8
26163163470,9
26163163449,9
26163163475,9
26163163511,8
