GEOID,DISTRICT
18039000960,1
18039000460,1
18039000450,1
18039000310,1
18131000130,1
18149000090,1
18149000080,1
18149000020,1
18149000210,1
18039000850,1
18039000760,1
18039000750,1
18131000110,1
18149000010,1
18149000120,1
18149000160,1
18149000180,1
18039000090,1
18039000100,2
18039000990,1
18039000980,1
18039000200,1
18065000150,3
18065000400,3
18011000220,4
18011000360,4
18011000240,4
18011000100,4
18011000130,4
18065000170,3
18065000210,3
18065000120,3
18133000130,4
18133000040,5
18133000290,4
18181000090,4
18065000050,3
18065000060,3
18133000140,4
18143000070,6
18133000060,4
18133000280,4
18143000160,6
18143000120,6
18143000150,6
18143000130,6
18143000140,6
18143000050,6
18143000030,6
18047000090,3
18047000040,3
18065000330,3
18065000340,3
18065000110,3
18023000250,4
18181000140,4
18141001120,1
18141001100,1
18181000010,4
18181000030,4
18141002220,1
18141002250,1
18141001160,1
18141000640,1
18141000690,1
18141000040,1
18141001980,1
18141002050,1
18141001880,1
18141000010,1
18141001130,1
18141001330,1
18141001320,1
18141000330,1
18141001400,1
18141001440,1
18141000340,1
18141001600,1
18141000720,1
18181000170,4
18039000220,1
18039000270,1
18141000950,1
18141000960,1
18141002110,1
18141001300,1
18141000620,1
18141001580,1
18141000100,1
18141000130,1
18141000870,1
18141001530,1
18141001340,1
18141001460,1
18141001500,1
18141000250,1
18141000300,1
18141001420,1
18141002120,1
18141001570,1
18117000120,6
18117000130,6
18117000190,6
18117000050,5
18117000040,5
18023000050,4
18023000190,4
18131000050,1
18131000060,1
18131000100,1
18023000330,4
18023000320,4
18065000320,3
18011000370,4
18011000440,4
18021000130,5
18021000140,5
18169000170,2
18169000200,2
18125000010,5
18125000050,5
18125000150,5
18125000180,5
18155000090,6
18083000070,5
18083000140,5
18173000600,5
18173000290,5
18173000360,5
18173000280,5
18155000070,6
18021000200,5
18159000130,3
18095000080,3
18095001040,3
18095001100,3
18095001110,3
18095000510,3
18095000480,3
18095000610,3
18095000660,3
18095000650,3
18011000500,4
18011000520,4
18011000530,4
18011000280,4
18011000380,4
18141001360,1
18141001350,1
18141001390,1
18141001450,1
18141001770,1
18141001090,1
18141001250,1
18141000670,1
18181000060,4
18181000180,4
18141001670,1
18141000630,1
18141001550,1
18141000110,1
18141001140,1
18141000990,1
18141001190,1
18141001000,1
18173000100,5
18173000130,5
18173000160,5
18173000060,5
18173000430,5
18083000310,5
18011000300,4
18011000340,4
18011000390,4
18011000480,4
18065000370,3
18065000410,3
18065000100,3
18065000130,3
18065000180,3
18155000060,6
18155000010,6
18011000050,4
18011000060,4
18011000010,4
18065000140,3
18065000090,3
18047000130,3
18047000060,3
18047000220,3
18097002340,7
18097002670,7
18133000240,4
18023000390,4
18023000230,4
18155000030,6
18097000730,7
18097000720,7
18097000750,7
18097000760,7
18023000280,4
18047000070,3
18047000110,3
18047000160,3
18047000200,3
18007000150,8
18007000110,8
18019000090,6
18019000190,6
18109000140,7
18109000010,7
18109000060,7
18097000680,7
18097003960,9
18097004020,9
18097001630,9
18097001610,9
18097001600,9
18097004040,9
18097004030,9
18097004050,9
18097002880,7
18097002870,7
18097005550,7
18097005490,7
18097005610,7
18097005380,7
18097005400,7
18097002890,7
18097003630,9
18097003460,9
18097004760,9
18097004180,9
18097000690,7
18097000660,7
18097000230,9
18097000300,7
18097000370,7
18097000990,7
18097000060,9
18097002920,7
18097003430,7
18097002940,7
18097005180,7
18097000190,7
18097004850,9
18097004230,9
18181000130,4
18133000070,4
18097000550,7
18097003620,9
18097003870,9
18083000090,5
18083000110,5
18173000550,5
18173000400,5
18173000190,5
18183000330,2
18183000180,2
18183000160,2
18021000160,5
18097005620,7
18097001340,9
18097001350,9
18097001490,7
18097005440,7
18097005230,7
18097004640,9
18097001750,9
18097001040,7
18097000930,9
18097000950,9
18097003980,9
18097002240,9
18097002230,9
18097002090,9
18097004420,9
18097004410,9
18097005110,9
18097003600,9
18097000280,7
18097004170,9
18097004160,9
18097000200,9
18097005160,7
18091000480,8
18019000230,6
18019000510,6
18019000450,6
18117000080,5
18117000070,5
18039000340,1
18169000010,2
18183000210,2
18183000050,2
18183000120,2
18183000140,2
18183000230,2
18183000190,2
18091000070,1
18091000890,1
18125000130,5
18125000030,5
18125000090,5
18125000100,5
18169000260,2
18125000040,5
18039000280,1
18039000890,1
18039000880,1
18039000900,1
18039000300,1
18039001070,1
18039000550,1
18097002480,7
18097002620,7
18097002560,7
18097002570,7
18097002420,7
18097002460,7
18097005670,7
18097005660,7
18097005650,7
18097005760,7
18097002290,9
18097002300,9
18097001080,7
18097001060,7
18097001090,7
18097001330,7
18097001390,7
18097005270,7
18097005140,7
18169000080,2
18169000100,2
18125000080,5
18169000030,2
18111000160,8
18111000170,8
18111000120,8
18139000020,3
18139000090,3
18139000010,3
18141000310,1
18015000110,4
18015000100,4
18017000013,4
18017000009,4
18017000006,4
18017000005,4
18017000029,4
18017000018,4
18017000038,1
18111000010,8
18131000140,1
18149000170,1
18039001020,1
18039001010,1
18039001150,1
18039001160,1
18039001130,1
18083000270,5
18083000220,5
18083000240,5
18097003550,9
18097001670,9
18111000130,8
18155000110,6
18039000780,1
18039000820,1
18097003730,9
18097003670,9
18097003740,9
18097005970,7
18097002630,7
18097004950,9
18165000080,5
18071000250,6
18083000100,5
18083000030,5
18173000450,5
18097000840,9
18097000940,9
18097000920,9
18097002410,7
18097001120,7
18097001110,7
18097001160,7
18097005390,7
18097005370,7
18045000090,4
18045000150,4
18045000170,4
18045000160,4
18045000080,4
18173000570,5
