GEOID,DISTRICT
39061031AKJ,1
39061031ABK,2
39061031BAE,2
39061031AEK,2
39061031BKQ,1
39061031BLU,1
39061031BMA,1
39061031AYG,1
39061031AOO,1
39061031BQN,1
39061031AHE,1
39167084ABR,3
39167084ACY,3
39167084ACM,3
39061031BNQ,2
39061031BKN,1
39061031ABE,2
39061031AFB,1
39061031BQM,1
39061031AFA,1
39061031AJP,1
39061031AVB,2
39061031AFD,1
39061031AFC,1
39061031AWL,1
39061031ANR,1
39061031BDM,2
39061031BDT,2
39061031BAQ,2
39061031AZK,2
39061031BHE,1
39061031BOM,1
39061031AKY,1
39061031AJA,2
39061031ACB,2
39061031AJN,1
39061031BEY,1
39061031BFB,1
39061031BOI,1
39061031ABB,2
39061031AUG,1
39061031AUJ,1
39061031AKL,1
39061031AMU,1
39061031ACI,2
39061031BEB,1
39061031BDZ,1
39061031AXW,1
39061031ASP,2
39061031AMC,1
39061031AMD,1
39061031BMW,2
39061031ARE,2
39061031BHG,1
39061031BHV,1
39061031AAF,2
39061031BMP,2
39077039ABE,4
39077039ABG,4
39077039ACK,5
39077039ABP,5
39077039ABQ,5
39013007ACL,3
39013007AAB,3
39013007ACF,3
39013007AAE,3
39077039ACF,4
39077039ACI,4
39061031AFM,2
39061031BMO,2
39061031AGN,1
39061031AGQ,1
39061031AFF,1
39061031AWN,1
39061031BOF,2
39061031ARG,2
39061031BMX,2
39061031AQZ,2
39061031AXK,2
39061031AKX,1
39061031BAS,2
39061031BKL,2
39005003ACO,5
39013007ADK,3
39013007ADW,3
39013007ABZ,3
39013007ADI,3
39127064AAY,6
39127064ABM,6
39127064AAQ,6
39127064AAR,6
39127064AAP,6
39129065ABD,6
39129065AAQ,6
39129065AAR,6
39077039ACM,5
39077039ABS,5
39005003ABI,3
39005003ABJ,3
39005003ACH,5
39005003AAB,5
39005003ABZ,5
39005003ACB,3
39077039ABT,4
39077039AAD,4
39077039ABU,4
39077039ABC,4
39077039ABA,4
39013007ACN,3
39013007ACO,3
39013007ABG,3
39013007ADD,3
39013007ADE,3
39083042AAY,3
39059030ABE,3
39059030AAJ,3
39059030AAG,3
39059030ABR,3
39059030ACR,3
39059030AAX,3
39059030ABS,3
39059030AAA,3
39059030ABU,3
39059030ABQ,3
39129065AAA,6
39129065AAI,6
39127064ABN,6
39127064ABR,6
39127064AAM,3
39129065ABJ,7
39127064ABK,6
39057029AHW,7
39057029AHS,7
39057029ACO,8
39057029AFG,7
39057029AIQ,7
39057029AHJ,7
39167084ABP,3
39167084ADE,3
39129065AAJ,6
39129065AAS,7
39129065ABM,6
39059030ACK,3
39075038AAX,3
39129065AAW,6
39057029AFS,7
39057029AFP,7
39057029AIO,7
39057029AIL,7
39057029AIP,7
39057029AHR,7
39057029AFN,7
39057029AGZ,7
39057029AHB,7
39083042AAO,9
39083042ABO,9
39129065ABI,6
39129065ABZ,6
39083042ABL,3
39083042ABM,3
39083042ABP,9
39083042ACB,9
39083042AAZ,9
39081041ADW,3
39121061AAL,3
39121061AAJ,3
39059030ABM,3
39059030ABK,3
39059030ABG,3
39121061AAS,3
39121061AAK,3
39121061AAC,3
39097049AAG,7
39127064ABE,6
39077039AAL,5
39077039AAS,4
39077039ACD,5
39077039ABJ,4
39077039ABI,5
39063032ACL,10
39063032ABV,10
39063032ABH,10
39063032ABG,10
39063032ABI,10
39063032AAP,10
39063032AAZ,10
39063032AAV,10
39063032ACB,10
39063032ABJ,10
39063032ABE,10
39103052AFW,5
39103052AFL,5
39009005ABM,6
39009005ABK,6
39009005AAA,6
39009005AAB,6
39009005ABU,6
39009005ABS,6
39009005ABT,6
39009005ACP,6
39009005ACC,6
39009005ACE,6
39009005ACB,6
39009005ABB,6
39077039ACC,4
39077039AAH,4
39097049AAO,7
39097049AAP,7
39097049AAN,7
39097049AAQ,7
39097049AAL,7
39097049AAJ,7
39097049AAK,7
39097049AAH,7
39103052AEE,5
39103052AFN,5
39103052AFP,5
39063032ACI,10
39063032AAL,10
39063032AAM,10
39063032AAH,10
39063032ACR,10
39063032ACO,10
39063032ABQ,10
39063032ABY,10
39063032ACA,10
39063032ABR,10
39013007ADF,3
39013007ADH,3
39013007ACP,3
39013007ABN,3
39013007ABP,3
39097049AAM,7
39083042AAS,3
39083042ABN,3
39129065AAF,6
39129065AAC,6
39129065AAB,6
39119060ACO,3
39119060ACM,3
39119060ACL,3
39119060AAX,3
39119060ABZ,3
39119060ABB,3
39119060AAT,3
39119060AAU,3
39119060AAN,3
39119060ACI,3
39119060ABN,3
39119060ADD,3
39119060ACN,3
39119060ABX,3
39119060AAI,3
39083042AAE,9
39083042ABQ,3
39115058AAL,3
39115058AAP,3
39115058AAQ,3
39115058AAS,3
39115058AAU,3
39059030ABH,3
39121061AAV,3
39121061AAP,3
39059030ACE,3
39059030ACF,3
39059030AAW,3
39135068ABQ,8
39135068ABR,8
39135068AAL,8
39135068AAP,8
39135068AAN,8
39135068ABH,8
39035018BWA,11
39035018BVX,11
39035018BVU,11
39035018ARI,11
39035018ARK,11
39035018ARP,11
39035018ANN,11
39035018AOT,11
39035018AYR,11
39035018ACA,11
39035018ACB,12
39035018CTP,12
39035018CTD,12
39035018CTM,12
39035018CME,11
39035018CLZ,11
39035018CMT,11
39035018CMP,11
39035018AON,11
39035018APX,11
39035018AXH,11
39035018AOU,11
39035018AOR,11
39035018AEI,5
39035018AEK,5
39035018CDB,11
39035018BTA,11
39035018BSP,11
39035018BSY,11
39035018BOO,12
39035018CHE,11
39035018CHC,11
39035018AZU,11
39035018BDV,11
39035018BDW,11
39035018BEH,11
39035018CEJ,5
39035018CEL,5
39035018BFJ,11
39035018ANR,11
39035018AZJ,11
39035018AOF,11
39035018AKB,11
39035018AKI,11
39035018AKE,11
39035018AJH,11
39035018AWE,12
39127064ABO,6
39091046ABD,10
39091046ABV,10
39035018BBN,11
39035018BBW,11
39035018BBR,11
39035018BBP,11
39035018AWX,12
39035018BVF,11
39035018BVJ,11
39035018BMW,12
39035018CSO,12
39035018CSX,12
39035018BKQ,12
39035018CQW,12
39035018CRQ,12
39035018CQN,12
39035018AIZ,11
39035018AIX,12
39035018AMM,11
39035018AMZ,11
39035018AZW,11
39035018AYX,11
39035018DDT,11
39035018BDZ,11
39035018AYV,11
39035018AZI,11
39035018AJJ,11
39035018CLI,11
39035018CLQ,11
39035018BDE,11
39035018CCO,5
39035018CCQ,11
39035018CCI,5
39035018BCI,11
39035018BDQ,11
