GEOID,DISTRICT
49047FD0018,4
49047LT021S,4
49047MD0790,4
49047LT021N,4
49047DN0024,4
49035WJD035,3
49035SAN086,4
49035SLC149,4
49035WVC057,3
49035WJD039,3
49035WJD043,3
49035SJD030,3
49035SJD029,3
49035SJD006,3
49035SJD046,3
49035DRP025,4
49035DRP027,4
49035DRP007,4
49023NEP4IA,2
49023NEP4UA,2
49023NEP5UA,2
49023NEP5IA,2
49017ES04US,2
49017ES04UN,2
49017ES04I0,2
49017BO02UW,2
49025KAN01I,2
49025KAN02U,2
49025BULL00,2
49025ORD0UW,2
49025ORD00I,2
49023CA0011,2
49023NEP2IA,2
49023NEP2UA,2
49023NEP2UB,2
49023LEV06W,2
49017HA005I,2
49017HA05UW,2
49017HA05UE,2
49047WR020S,4
49047WR020N,4
49047VC0009,4
49049VI0200,2
49049VI0100,2
49049VI01S2,2
49049OR042B,2
49049OR042C,2
49049VI01S1,2
49049LV000U,2
49049LE0026,4
49049LE0001,4
49049LE0002,4
49049LE001S,4
49049PA006I,2
49049PA006U,2
49049PA0005,2
49049PA0002,2
49049GE0001,2
49049EM0008,2
49049EM0005,2
49049EM005A,2
49049EM0006,2
49049OR0038,4
49049PR0038,2
49049PR0037,2
49049PR0030,2
49049PR0039,2
49049SF0015,2
49049SF0014,2
49049SR009I,2
49049FF000U,2
49049SR010I,2
49049SR0008,2
49049SR009U,2
49049EL001U,2
49049SR010U,2
49049SR0007,2
49049SR003U,2
49049UL001U,2
49035BLF006,4
49035BLF007,4
49035BLF003,4
49035BLF005,4
49035WJD017,3
49035WJD019,3
49035WJD038,3
49035SLC078,4
49035SLC076,4
49035SLC073,3
49035SLC070,3
49035SAN010,4
49035SAN020,4
49035SAN022,4
49035RIV18A,3
49035RIV029,3
49035DRP004,4
49035HER014,3
49035HER012,3
49035SAN003,4
49035SAN004,4
49035WJD037,3
49035WJD071,3
49035WJD040,3
49035SAN060,4
49035SJD024,3
49035SJD035,3
49035MIL044,4
49035MIL043,4
49035BRT902,4
49035HER019,3
49035HER004,3
49035HER017,3
49035RIV013,3
49035HER025,3
49019GD6569,2
49019GD856N,2
49035MID001,3
49035MID003,3
49035DRP019,4
49035CCN001,4
49007CB0160,2
49007CB0170,2
49007CB0310,2
49049PR0020,2
49049PR0019,2
49049LI0005,4
49041KOS17I,2
49041KOS17W,2
49041KOS17E,2
49041ANN01S,2
49031GREE05,2
49041SIG16I,2
49041SIG16E,2
49041SIG16C,2
49041SIG16W,2
49041ELS05E,2
49041ELS05I,2
49041ELS05W,2
49019GD5470,2
49019GD5569,2
49035HER020,3
49035WVC013,3
49019GD3470,2
49019GD1047,2
49019GD3570,2
49019GD1057,2
49019GD1570,2
49019GD2569,2
49019GD9470,2
49019GD856S,2
49019GD2470,2
