GEOID,DISTRICT
28037000102,4
28037000103,4
28027000004,1
28027000001,1
28013000004,1
28013000001,1
28095000506,1
28119000103,1
28119000202,1
28119000401,1
28119000101,1
28095000103,1
28095000104,1
28095000102,1
28095000105,1
28095000302,1
28095000401,1
28095000305,1
28095000304,1
28095000306,1
28155000101,2
28135000402,2
28135000503,1
28027000014,1
28027000011,1
28027000005,1
28049000203,4
28049000202,4
28049000317,4
28049000306,4
28049000511,4
28043000401,2
28043000501,2
28043000301,2
28043000502,2
28043000402,2
28043000102,2
28043000203,2
28043000202,2
28043000103,2
28043000104,2
28061000201,2
28061000102,2
28061000502,2
28049000516,4
28049000208,4
28049000105,4
28049000514,4
28049000307,4
28049000121,4
28049000120,4
28049000217,4
28103000403,2
28103000404,2
28063000004,4
28063000013,4
28115000405,1
28115000503,1
28147000103,4
28147000303,4
28067000509,3
28067000506,3
28067000505,3
28027000006,1
28027000018,1
28027000016,1
28107000204,1
28107000103,1
28123000203,2
28085000302,4
28085000103,4
28121000107,4
28121000303,4
28121000312,4
28121000410,4
28121000315,4
28121000408,2
28121000403,4
28089000403,4
28089000407,2
28089000406,2
28089000109,2
28089000105,2
28089000505,2
28015000111,2
28015000110,2
28015000108,2
28015000109,2
28121000204,4
28121000101,4
28121000105,4
28121000202,4
28121000505,4
28121000207,2
28153000502,3
28153000103,3
28153000503,3
28153000501,3
28107000503,1
28161000301,1
28153000505,3
28003000016,1
28003000401,1
28003000501,1
28061000503,2
28061000501,2
28085000405,4
28085000106,4
28085000301,4
28085000105,4
28025000302,2
28025000203,2
28025000301,2
28103000203,2
28103000103,2
28025000201,2
28037000301,4
28085000203,4
28023000402,2
28115000304,1
28115000504,1
28115000206,1
28115000107,1
28115000401,1
28085000202,4
28103000101,2
28027000003,1
28027000012,1
28029000303,4
28029000101,4
28015000103,2
28015000105,2
28121000203,2
28067000211,4
28067000103,3
28147000204,4
28067000503,3
28067000305,3
28067000204,3
28067000510,3
28089000101,2
28089000402,2
28089000203,2
28089000307,4
28121000103,4
28121000102,4
28013000003,1
28013000006,1
28013000002,1
28129000202,4
28129000302,4
28129000301,4
28121000507,4
28121000502,4
28027000002,1
28155000202,2
28117000304,1
28117000404,1
28037000302,4
28037000203,4
28017000109,1
28017000111,1
28075000204,2
28075000505,2
28075000105,2
28075000101,2
28075000512,2
28075000208,2
28037000202,4
28025000101,2
28025000102,2
28025000503,2
28039000501,3
28129000505,2
28043000201,2
28155000102,2
28089000301,4
28089000303,4
28037000404,4
28089000211,2
28089000302,2
28089000210,2
28089000308,2
28089000410,2
28089000506,2
28015000113,2
28015000112,2
28015000114,2
28121000405,2
28121000402,2
28121000305,4
28121000313,4
28055000104,4
28055000103,4
28055000105,4
28089000103,2
28089000503,2
28085000402,4
28085000306,4
28025000501,2
28123000404,2
28063000014,4
28063000015,4
28063000009,4
28121000411,2
28121000504,4
28107000207,1
28107000504,1
28133000403,2
28141000405,1
28141000301,1
28141000401,1
28141000202,1
28133000202,2
28133000303,2
28095000205,1
28095000107,1
28135000302,1
28129000404,2
28129000401,4
28129000504,2
28129000403,4
28037000501,4
28153000102,3
28153000401,3
28153000405,3
28133000103,2
28133000401,2
28133000504,2
28117000501,1
28141000502,1
28107000101,1
28107000106,1
28107000405,1
28161000402,1
28161000502,1
28161000503,1
28119000502,1
28119000302,1
28135000104,1
28161000401,1
28161000505,1
28151000401,2
28151000504,2
28095000202,1
28095000201,1
28095000307,1
28095000501,1
28095000109,1
28095000407,1
28119000501,1
28119000402,1
28089000401,4
28089000108,4
28089000202,4
28153000202,3
28153000201,3
28003000203,1
28003000303,1
28121000109,4
28121000501,4
28015000106,2
28015000104,2
28151000403,2
28151000204,2
28117000405,1
28151000505,2
28151000303,2
28151000402,2
28153000101,3
28153000105,3
28161000102,1
28161000201,1
28161000202,1
28153000301,3
28133000301,2
28133000101,2
28133000304,2
28133000302,2
28117000104,1
28117000103,1
28095000204,1
28115000104,1
28115000404,1
28023000503,2
28023000405,2
28023000404,2
28023000406,2
28023000102,2
28115000502,1
28117000205,1
28117000101,1
28151000501,2
28151000502,2
28115000106,1
28117000502,1
28117000402,1
28061000206,2
28061000301,2
28061000303,2
28097000502,2
28097000401,2
28097000503,2
28097000202,2
28097000102,2
28159000504,2
28159000405,2
28061000401,2
28061000402,2
28061000105,2
28097000403,2
28097000501,2
28159000303,2
28159000102,2
28163000108,4
28151000304,2
28151000104,4
28151000202,2
28151000105,2
28151000103,2
28151000102,2
28151000201,2
28151000302,2
28061000304,2
28159000104,2
28159000402,2
28163000504,2
28065000031,4
28065000043,4
28065000026,4
28065000041,4
28123000301,2
28123000102,2
28123000402,2
28159000502,2
28113000506,4
28113000403,4
28113000402,4
28113000203,4
28113000504,4
28113000501,4
28113000406,4
28163000503,4
28163000111,4
28097000101,2
28097000201,2
28091000001,4
28003000201,1
28163000302,2
28097000302,2
28159000301,2
28029000403,4
28029000501,4
28029000104,4
28029000205,4
28113000301,4
28113000204,4
28113000304,4
